movie,cast,Role
30 Minutes or Less ,Dilshad Vadsaria,actor
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,Ashley Martin,actor
300,Michael Fassbender,actor
300: Rise of an Empire ,Sullivan Stapleton,actor
3000 Miles to Graceland ,Bokeem Woodbine,actor
3rd Rock from the Sun             ,Wayne Knight,actor
"4 Months, 3 Weeks and 2 Days ",Vlad Ivanov,actor
40 Days and 40 Nights ,Vinessa Shaw,actor
42,Christopher Meloni,actor
42nd Street ,Dick Powell,actor
47 Ronin ,Cary-Hiroyuki Tagawa,actor
5 Days of War ,Kenneth Cranham,actor
50 First Dates ,Peter Dante,actor
50/50 ,Anna Kendrick,actor
500 Days of Summer ,Chlo? Grace Moretz,actor
51 Birch Street ,Ellen Block,actor
54,Ellen Albertini Dow,actor
55 Days at Peking ,David Niven,actor
8 Days ,Sebastian Aguilar,actor
8 Heads in a Duffel Bag ,George Hamilton,actor
8 Mile ,Omar Benson Miller,actor
8 Women ,Isabelle Huppert,actor
8: The Mormon Proposition ,Emily Pearson,actor
88 Minutes ,Alicia Witt,actor
8MM ,Chris Bauer,actor
9,Alan Oppenheimer,actor
9  Weeks ,Karen Young,actor
90 Minutes in Heaven ,Bobby Batson,actor
A Beautiful Mind ,Austin Pendleton,actor
A Beginner's Guide to Snuff ,Luke Edwards,actor
A Better Life ,Eddie 'Piolin' Sotelo,actor
A Bridge Too Far ,Dirk Bogarde,actor
A Bug's Life ,Madeline Kahn,actor
A Charlie Brown Christmas ,Bill Melendez,actor
A Christmas Carol ,Colin Firth,actor
A Christmas Story ,Darren McGavin,actor
A Cinderella Story ,Lin Shaye,actor
A Civil Action ,Kathleen Quinlan,actor
A Dangerous Method ,Viggo Mortensen,actor
A Dog of Flanders ,Cheryl Ladd,actor
A Dog's Breakfast ,David Hewlett,actor
A Dog's Breakfast ,David Hewlett,actor
A Farewell to Arms ,Helen Hayes,actor
A Few Good Men ,Demi Moore,actor
A Fine Step ,Luke Perry,actor
A Fistful of Dollars ,Gian Maria Volont?,actor
A Funny Thing Happened on the Way to the Forum ,Zero Mostel,actor
A Good Day to Die Hard ,Cole Hauser,actor
A Good Year ,Albert Finney,actor
A Guy Named Joe ,Esther Williams,actor
A Guy Thing ,Lochlyn Munro,actor
A Hard Day's Night ,Ringo Starr,actor
A Haunted House ,Alanna Ubach,actor
A Haunted House 2 ,Essence Atkins,actor
A History of Violence ,Kyle Schmid,actor
A Home at the End of the World ,Matt Frewer,actor
A Knight's Tale ,Rufus Sewell,actor
A League of Their Own ,Lori Petty,actor
A Lego Brickumentary ,Brian Whitaker,actor
A Lonely Place to Die ,Eamonn Walker,actor
A Lot Like Love ,Tyrone Giordano,actor
A Low Down Dirty Shame ,Salli Richardson-Whitfield,actor
A Madea Christmas ,Tika Sumpter,actor
A Man Apart ,Jeff Kober,actor
A Man for All Seasons ,Susannah York,actor
A Mighty Heart ,Archie Panjabi,actor
A Mighty Wind ,Christopher Guest,actor
A Million Ways to Die in the West ,Charlize Theron,actor
A Monster in Paris ,Bob Balaban,actor
A Most Violent Year ,Ashley Williams,actor
A Most Wanted Man ,Nina Hoss,actor
A Night at the Roxbury ,Chris Kattan,actor
A Nightmare on Elm Street ,Lin Shaye,actor
A Nightmare on Elm Street ,Lin Shaye,actor
A Nightmare on Elm Street 2: Freddy's Revenge ,Robert Rusler,actor
A Nightmare on Elm Street 3: Dream Warriors ,Heather Langenkamp,actor
A Nightmare on Elm Street 4: The Dream Master ,Rodney Eastman,actor
A Nightmare on Elm Street 5: The Dream Child ,Kelly Jo Minter,actor
A Passage to India ,Judy Davis,actor
A Perfect Getaway ,Milla Jovovich,actor
A Perfect Plan ,Malonn L?vana,actor
A Plague So Pleasant ,Maxwell Moody,actor
A Prairie Home Companion ,Virginia Madsen,actor
A Room for Romeo Brass ,Paddy Considine,actor
A Room with a View ,Rupert Graves,actor
A Scanner Darkly ,Keanu Reeves,actor
A Separation ,Leila Hatami,actor
A Serious Man ,Fred Melamed,actor
A Shine of Rainbows ,Aidan Quinn,actor
A Simple Plan ,Bridget Fonda,actor
A Simple Wish ,Francis Capra,actor
A Single Man ,Teddy Sears,actor
A Sound of Thunder ,Catherine McCormack,actor
A Streetcar Named Desire ,Karl Malden,actor
A Tale of Three Cities ,Ching Wan Lau,actor
A Thin Line Between Love and Hate ,Lynn Whitfield,actor
A Thousand Words ,Lou Saliba,actor
A Time to Kill ,Matthew McConaughey,actor
A Touch of Frost             ,Bruce Alexander,actor
A True Story ,Jon Gries,actor
A Turtle's Tale: Sammy's Adventures ,Jenny McCarthy,actor
A Very Harold & Kumar 3D Christmas ,Thomas Lennon,actor
A Very Long Engagement ,Andr? Dussollier,actor
A View to a Kill ,Alison Doody,actor
A Walk Among the Tombstones ,Boyd Holbrook,actor
A Walk on the Moon ,Julie Kavner,actor
A Walk to Remember ,Peter Coyote,actor
A Warrior's Tail ,Fedor Bondarchuk,actor
"A Woman, a Gun and a Noodle Shop ",Ni Yan,actor
"A Woman, a Gun and a Noodle Shop ",Ni Yan,actor
A.I. Artificial Intelligence ,William Hurt,actor
Abandon ,Zooey Deschanel,actor
Abandoned ,Peter Feeney,actor
ABCD (Any Body Can Dance) ,Remo,actor
Abduction ,Benjamin J. Cain Jr.,actor
Aberdeen ,Sara-Marie Maltha,actor
About a Boy ,Christopher Webster,actor
About Last Night ,Regina Hall,actor
About Schmidt ,June Squibb,actor
About Time ,Tom Hollander,actor
Abraham Lincoln: Vampire Hunter ,Dominic Cooper,actor
Absentia ,Courtney Bell,actor
Absolute Power ,Mark Margolis,actor
Accidental Love ,Kirstie Alley,actor
Ace Ventura: Pet Detective ,Udo Kier,actor
Ace Ventura: When Nature Calls ,Bob Gunton,actor
Across the Universe ,T.V. Carpio,actor
Across the Universe ,T.V. Carpio,actor
Act of Valor ,Jason Cottle,actor
Action Jackson ,Vanity,actor
Adam ,Terry Walters,actor
Adam Resurrected ,Ayelet Zurer,actor
Adaptation. ,Meryl Streep,actor
Addicted ,Cameron Mills,actor
Admission ,Sarita Choudhury,actor
Adore ,Naomi Watts,actor
Adulterers ,Steffinnie Phrommany,actor
Adventureland ,Martin Starr,actor
After ,Madison Lintz,actor
After Earth ,Zo? Kravitz,actor
After the Sunset ,Don Cheadle,actor
After.Life ,Josh Charles,actor
Against the Ropes ,Charles S. Dutton,actor
Against the Wild ,CJ Adams,actor
Agent Cody Banks ,Frankie Muniz,actor
Agent Cody Banks 2: Destination London ,Frankie Muniz,actor
Agora ,Ashraf Barhom,actor
Aimee & Jaguar ,Johanna Wokalek,actor
Air Bud ,Bill Cobbs,actor
Air Force One ,Gary Oldman,actor
Airborne ,Jacob Vargas,actor
Airlift ,Sameer Ali Khan,actor
Airplane! ,Lloyd Bridges,actor
Ajami ,Scandar Copti,actor
Akeelah and the Bee ,Sean Michael Afable,actor
Akira ,Takeshi Kusao,actor
Aladdin ,Frank Welker,actor
Albert Nobbs ,Michael McElhatton,actor
Albino Alligator ,Joe Mantegna,actor
Alex & Emma ,Lobo Sebastian,actor
Alex Cross ,Chad Lindberg,actor
Alex Rider: Operation Stormbreaker ,Sophie Okonedo,actor
Alexander ,Angelina Jolie Pitt,actor
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Steve Carell,actor
Alexander's Ragtime Band ,Don Ameche,actor
Alfie ,Nia Long,actor
Ali ,Jada Pinkett Smith,actor
Alias Betty ,Edouard Baer,actor
Alice in Wonderland ,Alan Rickman,actor
Alice in Wonderland ,Alan Rickman,actor
Alice Through the Looking Glass ,Alan Rickman,actor
Alien ,Yaphet Kotto,actor
Alien 3 ,Holt McCallany,actor
Alien Uprising ,Sean Pertwee,actor
Alien Zone ,Elizabeth MacRae,actor
Alien: Resurrection ,Michael Wincott,actor
Aliens ,Carrie Henn,actor
Aliens in the Attic ,Carter Jenkins,actor
Aliens vs. Predator: Requiem ,Johnny Lewis,actor
Alive ,Danny Nucci,actor
All About Steve ,Katy Mixon,actor
All About the Benjamins ,Roger Guenveur Smith,actor
All Good Things ,Kirsten Dunst,actor
All Hat ,Gary Farmer,actor
All Is Bright ,Curtiss Cook,actor
All or Nothing ,Ruth Sheen,actor
All Superheroes Must Die ,Jason Trost,actor
All That Jazz ,Ben Vereen,actor
All the Boys Love Mandy Lane ,Michael Welch,actor
All the King's Men ,Anthony Hopkins,actor
All the Pretty Horses ,Henry Thomas,actor
All the Queen's Men ,Udo Kier,actor
All the Real Girls ,Paul Schneider,actor
Allegiant ,Theo James,actor
Alleluia! The Devil's Carnival ,Barry Bostwick,actor
Almost Famous ,Zooey Deschanel,actor
Aloft ,Zen McGrath,actor
Aloha ,Bradley Cooper,actor
Aloha ,Bradley Cooper,actor
Alone in the Dark ,Darren Shahlavi,actor
Alone with Her ,Ana Claudia Talanc?n,actor
Along Came a Spider ,Billy Burke,actor
Along Came Polly ,Masi Oka,actor
Along the Roadside ,Brock Baker,actor
Alpha and Omega ,Larry Miller,actor
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,Kate Higgins,actor
Alvin and the Chipmunks ,Beth Riesgraf,actor
Alvin and the Chipmunks: Chipwrecked ,Jesse McCartney,actor
Alvin and the Chipmunks: The Road Chip ,Joshua Mikel,actor
Alvin and the Chipmunks: The Squeakquel ,Bridgit Mendler,actor
Always Woodstock ,James Wolk,actor
Am lie ,Jamel Debbouze,actor
Amadeus ,F. Murray Abraham,actor
Amen. ,Mathieu Kassovitz,actor
America Is Still the Place ,Dylan Baker,actor
American Beauty ,Peter Gallagher,actor
American Desi ,Rizwan Manji,actor
American Dreamz ,Dennis Quaid,actor
American Gangster ,Ruby Dee,actor
American Graffiti ,Ron Howard,actor
American Heist ,Jordana Brewster,actor
American Hero ,Christopher Berry,actor
American History X ,Beverly D'Angelo,actor
American Hustle ,Christian Bale,actor
American Ninja 2: The Confrontation ,Steve James,actor
American Outlaws ,Ronny Cox,actor
American Pie ,Shannon Elizabeth,actor
American Pie 2 ,Shannon Elizabeth,actor
American Psycho ,Justin Theroux,actor
American Reunion ,Dania Ramirez,actor
American Sniper ,Leonard Roberts,actor
American Splendor ,James Urbaniak,actor
American Wedding ,Thomas Ian Nicholas,actor
America's Sweethearts ,Rainn Wilson,actor
Amidst the Devil's Wings ,Nicholas Simmons,actor
Amigo ,John Arcilla,actor
Amistad ,Morgan Freeman,actor
Amnesiac ,Patrick Bauchau,actor
Among Giants ,Alan Williams,actor
Amores Perros ,Jorge Salinas,actor
Amour ,Emmanuelle Riva,actor
An Alan Smithee Film: Burn Hollywood Burn ,Harvey Weinstein,actor
An American Carol ,Geoffrey Arend,actor
An American Girl Holiday ,Jordan Bridges,actor
An American Haunting ,James D'Arcy,actor
An American in Hollywood ,Hassan Johnson,actor
An Education ,Olivia Williams,actor
An Everlasting Piece ,Br?an F. O'Byrne,actor
An Ideal Husband ,Rupert Everett,actor
An Inconvenient Truth ,Al Gore,actor
An Unfinished Life ,Camryn Manheim,actor
Anaconda ,Eric Stoltz,actor
Anacondas: The Hunt for the Blood Orchid ,Salli Richardson-Whitfield,actor
Analyze That ,Cathy Moriarty,actor
Analyze This ,Chazz Palminteri,actor
Anastasia ,Kelsey Grammer,actor
Anatomy ,R?diger Vogler,actor
Anchorman 2: The Legend Continues ,Will Ferrell,actor
Anchorman: The Legend of Ron Burgundy ,Will Ferrell,actor
And So It Goes ,Annie Parisse,actor
And Then Came Love ,Mike Colter,actor
Anderson's Cross ,Joanna Cassidy,actor
Angel Eyes ,Shirley Knight,actor
Angela's Ashes ,Devon Murray,actor
Angels & Demons ,Ayelet Zurer,actor
Anger Management             ,Noureen DeWulf,actor
Animal House ,Karen Allen,actor
Animal Kingdom             ,Daniella Alonso,actor
Animal Kingdom: Let's go Ape ,Youssef Hajdi,actor
Animals ,John Heard,actor
Animals United ,Vanessa Redgrave,actor
Anna and the King ,Geoffrey Palmer,actor
Anna Karenina ,Guro Nagelhus Schia,actor
Annabelle ,Annabelle Wallis,actor
Anne of Green Gables             ,Jonathan Crombie,actor
Annie ,Dorian Missick,actor
Annie Get Your Gun ,Howard Keel,actor
Annie Hall ,Carol Kane,actor
Anomalisa ,Tom Noonan,actor
Anonymous ,Joely Richardson,actor
Another Earth ,William Mapother,actor
Another Happy Day ,Ezra Miller,actor
Another Year ,Imelda Staunton,actor
Antarctic Edge: 70  South ,Hugh Ducklow,actor
Antarctica: A Year on Ice ,Tom Hamann,actor
Antibirth ,Emmanuel Kabongo,actor
Antitrust ,Richard Roundtree,actor
Antiviral ,Douglas Smith,actor
Ant-Man ,Hayley Atwell,actor
Antwone Fisher ,Kevin Connolly,actor
Antz ,Woody Allen,actor
Any Given Sunday ,Dennis Quaid,actor
Anything Else ,Stockard Channing,actor
Anywhere But Here ,Eva Amurri Martino,actor
Apocalypse Now ,Marlon Brando,actor
Apocalypto ,Dalia Hern?ndez,actor
Apollo 13 ,Miko Hughes,actor
Apollo 18 ,Ryan Robbins,actor
Appaloosa ,James Gammon,actor
April Fool's Day ,Deborah Foreman,actor
Aqua Teen Hunger Force Colon Movie Film for Theaters ,Fred Armisen,actor
Aquamarine ,Joanna 'JoJo' Levesque,actor
Arachnophobia ,Peter Jason,actor
Ararat ,Marie-Jos?e Croze,actor
Arbitrage ,Curtiss Cook,actor
Archaeology of a Woman ,Alex Emanuel,actor
Are We There Yet  ,Tracy Morgan,actor
Area 51 ,Sandra Staggs,actor
Argo ,Scoot McNairy,actor
Arlington Road ,Spencer Treat Clark,actor
Armageddon ,Steve Buscemi,actor
Armored ,Fred Ward,actor
Army of Darkness ,Bridget Fonda,actor
Arn: The Knight Templar ,Michael Nyqvist,actor
Arnolds Park ,Matthew Feeney,actor
Around the World in 80 Days ,Steve Coogan,actor
Around the World in 80 Days ,Steve Coogan,actor
Aroused ,Jesse Jane,actor
Arthur             ,Melissa Altro,actor
Arthur and the Invisibles ,Adam LeFevre,actor
Arthur Christmas ,Imelda Staunton,actor
"As Above, So Below ",Edwin Hodge,actor
As Good as It Gets ,Yeardley Smith,actor
As It Is in Heaven ,Frida Hallgren,actor
Ask Me Anything ,Gia Mantegna,actor
Assassins ,Sylvester Stallone,actor
Assault on Precinct 13 ,Drea de Matteo,actor
Asterix at the Olympic Games ,Santiago Segura,actor
Astro Boy ,Charlize Theron,actor
At First Sight ,Nathan Lane,actor
ATL ,Adam Boyer,actor
Atlantis: The Lost Empire ,Jim Varney,actor
Atlas Shrugged II: The Strike ,Diedrich Bader,actor
Atlas Shrugged: Who Is John Galt  ,Greg Germann,actor
Atonement ,Alfie Allen,actor
Attack the Block ,Luke Treadaway,actor
August ,Adrian Gonzalez,actor
August Rush ,Aaron Staton,actor
August: Osage County ,Meryl Streep,actor
Austin Powers in Goldmember ,Josh Zuckerman,actor
Austin Powers: International Man of Mystery ,Charles Napier,actor
Austin Powers: The Spy Who Shagged Me ,Verne Troyer,actor
Australia ,Bryan Brown,actor
Auto Focus ,Michael McKean,actor
Automata ,Robert Forster,actor
Autumn in New York ,Sam Trammell,actor
Avatar ,Joel David Moore,actor
Avengers: Age of Ultron ,Robert Downey Jr.,actor
AVP: Alien vs. Predator ,Colin Salmon,actor
Awake ,Fisher Stevens,actor
Away We Go ,Jim Gaffigan,actor
AWOL-72 ,Brooke Newton,actor
Baahubali: The Beginning ,Anushka Shetty,actor
Babe ,Christine Cavanaugh,actor
Babe: Pig in the City ,Elizabeth Daily,actor
Babel ,Harriet Walter,actor
Baby Boy ,Snoop Dogg,actor
Baby Geniuses ,Dom DeLuise,actor
Baby Mama ,Amy Poehler,actor
Babylon A.D. ,Charlotte Rampling,actor
Baby's Day Out ,Lara Flynn Boyle,actor
Bachelorette ,Adam Scott,actor
Back to the Future ,Thomas F. Wilson,actor
Back to the Future Part II ,Jeffrey Weissman,actor
Back to the Future Part III ,Jeffrey Weissman,actor
Bad Boys ,Tch?ky Karyo,actor
Bad Boys II ,Henry Rollins,actor
Bad Company ,Brooke Smith,actor
Bad Grandpa ,Georgina Cates,actor
Bad Lieutenant: Port of Call New Orleans ,Shea Whigham,actor
Bad Moms ,Jay Hernandez,actor
Bad Moms ,Jay Hernandez,actor
Bad Santa ,Tony Cox,actor
Bad Teacher ,John Michael Higgins,actor
Bad Words ,Philip Baker Hall,actor
Baggage Claim ,Christina Milian,actor
Baghead ,Jennifer Lafleur,actor
Bait ,Cariba Heine,actor
Ballistic: Ecks vs. Sever ,Sandrine Holt,actor
Bambi ,Donnie Dunagan,actor
Bamboozled ,Michael Rapaport,actor
Bananas ,Charlotte Rae,actor
Bandidas ,Sam Shepard,actor
Bandits ,Br?an F. O'Byrne,actor
Bandslam ,Charlie Saxton,actor
Bang ,Stanley B. Herman,actor
Bang Bang Baby ,Chloe Rose,actor
Bangkok Dangerous ,Charlie Yeung,actor
Banshee Chapter ,Katia Winter,actor
Barbarella ,David Hemmings,actor
Barbecue ,Julie Engelbrecht,actor
Barbershop ,Jason George,actor
Barbershop 2: Back in Business ,Sean Patrick Thomas,actor
Barfi ,Diganth,actor
Barney's Great Adventure ,Kyla Pratt,actor
Barney's Version ,Atom Egoyan,actor
Barnyard ,Wanda Sykes,actor
Barry Lyndon ,Steven Berkoff,actor
Barry Munday ,Cybill Shepherd,actor
Basic ,Harry Connick Jr.,actor
Basic Instinct 2 ,Indira Varma,actor
Basquiat ,Michael Wincott,actor
Bathing Beauty ,Basil Rathbone,actor
Bathory: Countess of Blood ,Hans Matheson,actor
Batman ,Jack Palance,actor
Batman & Robin ,Vivica A. Fox,actor
Batman Begins ,Liam Neeson,actor
Batman Forever ,Rene Auberjonois,actor
Batman Returns ,Vincent Schiavelli,actor
Batman v Superman: Dawn of Justice ,Lauren Cohan,actor
"Batman: The Dark Knight Returns, Part 2 ",Mark Valley,actor
Batman: The Movie ,Cesar Romero,actor
Bats ,Bob Gunton,actor
Battle for the Planet of the Apes ,Paul Williams,actor
Battle Los Angeles ,Jim Parrack,actor
Battle of the Year ,Caity Lotz,actor
Battlefield Earth ,Michael Byrne,actor
Battleship ,Alexander Skarsg?rd,actor
Be Cool ,Christina Milian,actor
Be Kind Rewind ,Mia Farrow,actor
Beastly ,Mary-Kate Olsen,actor
Beastmaster 2: Through the Portal of Time ,Kari Wuhrer,actor
Beasts of the Southern Wild ,Gina Montana,actor
Beautiful Creatures ,Zoey Deutch,actor
Beauty Shop ,Keshia Knight Pulliam,actor
Beavis and Butt-Head Do America ,Demi Moore,actor
Because I Said So ,Stephen Collins,actor
Because of Winn-Dixie ,Luke Benward,actor
Becoming Jane ,Julie Walters,actor
Bedazzled ,Frances O'Connor,actor
Bedtime Stories ,Carmen Electra,actor
Bee Movie ,Oprah Winfrey,actor
Beer League ,Laurie Metcalf,actor
Beerfest ,Owain Yeoman,actor
Beetlejuice ,Jeffrey Jones,actor
Before I Go to Sleep ,Ben Crompton,actor
Before Midnight ,Ariane Labed,actor
Before Sunrise ,Hans Weingartner,actor
Before Sunset ,Albert Delpy,actor
Begin Again ,Karen Pittman,actor
Beginners ,Lou Taylor Pucci,actor
Behind Enemy Lines ,David Keith,actor
Being John Malkovich ,Orson Bean,actor
Being Julia ,Shaun Evans,actor
Bella ,Ramon Rodriguez,actor
Beloved ,Kimberly Elise,actor
Below Zero ,Kristin Booth,actor
Bend It Like Beckham ,Parminder Nagra,actor
Beneath Hill 60 ,Gyton Grantley,actor
Beneath the Planet of the Apes ,Gregory Sierra,actor
Ben-Hur ,Ayelet Zurer,actor
Ben-Hur ,Ayelet Zurer,actor
Ben-Hur ,Ayelet Zurer,actor
Benji ,Peter Breck,actor
Beowulf ,Anthony Hopkins,actor
Bernie ,Brandon Smith,actor
Best in Show ,Catherine O'Hara,actor
Better Luck Tomorrow ,Jason Tobin,actor
Beverly Hills Chihuahua ,Nick Zano,actor
Beverly Hills Cop ,Ronny Cox,actor
Beverly Hills Cop II ,Judge Reinhold,actor
Beverly Hills Cop III ,Jon Tenney,actor
Bewitched             ,Agnes Moorehead,actor
Beyond Borders ,Teri Polo,actor
Beyond the Black Rainbow ,Marilyn Norry,actor
Beyond the Lights ,Nate Parker,actor
Beyond the Mat ,Vince McMahon,actor
Beyond the Sea ,Bob Hoskins,actor
Beyond the Valley of the Dolls ,Cynthia Myers,actor
B-Girl ,Wesley Jonathan,actor
Bicentennial Man ,Oliver Platt,actor
Big ,Jon Lovitz,actor
Big Daddy ,Adam Sandler,actor
Big Eyes ,Danny Huston,actor
Big Fat Liar ,Donald Faison,actor
Big Fat Liar ,Donald Faison,actor
Big Fish ,Alison Lohman,actor
Big Hero 6 ,Daniel Henney,actor
Big Miracle ,Tim Blake Nelson,actor
Big Momma's House ,Cedric the Entertainer,actor
Big Momma's House 2 ,Nia Long,actor
"Big Mommas: Like Father, Like Son ",Tony Curran,actor
Big Trouble ,Janeane Garofalo,actor
Big Trouble in Little China ,Kate Burton,actor
Bill & Ted's Bogus Journey ,George Carlin,actor
Bill & Ted's Excellent Adventure ,George Carlin,actor
Billy Elliot ,Gary Lewis,actor
Birdman or (The Unexpected Virtue of Ignorance) ,Naomi Watts,actor
Birth ,Anne Heche,actor
Birthday Girl ,Mathieu Kassovitz,actor
Biutiful ,Hanaa Bouchaib,actor
Bizarre ,Pierre Prieur,actor
Black Book ,Sebastian Koch,actor
Black Christmas ,Crystal Lowe,actor
Black Hawk Down ,Sam Shepard,actor
Black Knight ,Marsha Thomason,actor
Black Mass ,Benedict Cumberbatch,actor
Black Nativity ,Mary J. Blige,actor
Black November ,Nathin Butler,actor
Black or White ,Gillian Jacobs,actor
Black Rain ,Ken Takakura,actor
Black Rock ,Anslem Richardson,actor
Black Snake Moan ,Michael Raymond-James,actor
Black Swan ,Mila Kunis,actor
Black Water Transit ,Aisha Tyler,actor
Blackhat ,Archie Kao,actor
Blackthorn ,Dominique McElligott,actor
Blade ,Traci Lords,actor
Blade II ,Thomas Kretschmann,actor
Blade Runner ,Sean Young,actor
Blade: Trinity ,Natasha Lyonne,actor
Blades of Glory ,Amy Poehler,actor
Blast from the Past ,Sissy Spacek,actor
Blazing Saddles ,David Huddleston,actor
Bled ,Jennifer Lee Wiggins,actor
Bleeding Hearts ,Deirdre Lorenz,actor
Blended ,Adam Sandler,actor
Bless the Child ,Jimmy Smits,actor
Blindness ,Joe Pingue,actor
Blonde Ambition ,Drew Waters,actor
Blood and Chocolate ,Agnes Bruckner,actor
Blood and Wine ,Mike Starr,actor
Blood Diamond ,Djimon Hounsou,actor
Blood Done Sign My Name ,Nate Parker,actor
"Blood In, Blood Out ",Jesse Borrego,actor
Blood Ties ,Lili Taylor,actor
Blood Work ,Anjelica Huston,actor
BloodRayne ,Udo Kier,actor
Bloodsport ,Donald Gibb,actor
Bloody Sunday ,Nicholas Farrell,actor
Blow ,Ethan Suplee,actor
Blow Out ,Dennis Franz,actor
Blue Car ,Agnes Bruckner,actor
Blue Crush ,Mika Boorem,actor
Blue Jasmine ,Charlie Tahan,actor
Blue Like Jazz ,Marshall Allman,actor
Blue Ruin ,Eve Plumb,actor
Blue Streak ,Dave Chappelle,actor
Blue Valentine ,Mike Vogel,actor
Boat Trip ,Lin Shaye,actor
Bobby ,Nick Cannon,actor
Bobby Jones: Stroke of Genius ,Jeremy Northam,actor
Body Double ,Dennis Franz,actor
Body of Lies ,Simon McBurney,actor
Bodyguards and Assassins ,Simon Yam,actor
Bogus ,Nancy Travis,actor
Boiler Room ,Nia Long,actor
Bolt ,Diedrich Bader,actor
Bon Cop Bad Cop ,Richard Howland,actor
Bon voyage ,Peter Coyote,actor
Bones             ,T.J. Thyne,actor
Boogeyman ,Skye McCole Bartusiak,actor
Boogie Nights ,Nicole Ari Parker,actor
Book of Shadows: Blair Witch 2 ,Erica Leerhsen,actor
Boom Town ,Spencer Tracy,actor
Boomerang ,Eartha Kitt,actor
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Ken Davitian,actor
Born of War ,Sofia Black-D'Elia,actor
Born on the Fourth of July ,Tom Berenger,actor
Born to Fly: Elizabeth Streb vs. Gravity ,Sarah Callan,actor
Bottle Rocket ,Darryl Cox,actor
Bottle Shock ,Freddy Rodr?guez,actor
Bound ,Kevin Michael Richardson,actor
Bowfinger ,Adam Alexi-Malle,actor
Bowling for Columbine ,Dick Clark,actor
Boyhood ,Lorelei Linklater,actor
Boynton Beach Club ,Michael Nouri,actor
Boys and Girls ,Amanda Detmer,actor
Boys Don't Cry ,Brendan Sexton III,actor
Boyz n the Hood ,Lloyd Avery II,actor
Br no ,Elton John,actor
BrainDead             ,Megan Hilty,actor
Bram Stoker's Dracula ,Anthony Hopkins,actor
Bran Nue Dae ,Magda Szubanski,actor
Brave ,John Ratzenberger,actor
Brave New Girl ,Aaron Ashmore,actor
Braveheart ,Patrick McGoohan,actor
Brazil ,Bob Hoskins,actor
Breakdown ,M.C. Gainey,actor
Breakfast of Champions ,Albert Finney,actor
Breakin' All the Rules ,Tate Taylor,actor
Breaking Upwards ,Heather Burns,actor
Brick Lane ,Christopher Simpson,actor
Brick Mansions ,Robert Maillet,actor
Bride & Prejudice ,Martin Henderson,actor
Bride of Chucky ,Park Bench,actor
Bride Wars ,Steve Howey,actor
Bridesmaids ,Wendi McLendon-Covey,actor
Bridge of Spies ,Mark Rylance,actor
Bridge to Terabithia ,Zooey Deschanel,actor
Bridget Jones: The Edge of Reason ,Jim Broadbent,actor
Bridget Jones's Diary ,Jim Broadbent,actor
Brigham City ,Frank Gerrish,actor
"Bright Lights, Big City ",Phoebe Cates,actor
