movie,cast,Role
Allegiant ,Zo? Kravitz,actor
Alleluia! The Devil's Carnival ,Terrance Zdunich,actor
Almost Famous ,Michael Angarano,actor
Aloft ,William Shimell,actor
Aloha ,Bill Murray,actor
Aloha ,Bill Murray,actor
Alone in the Dark ,Karin Konoval,actor
Alone with Her ,Jonathon Trent,actor
Along Came a Spider ,Monica Potter,actor
Along Came Polly ,Debra Messing,actor
Along the Roadside ,Sheldon Bailey,actor
Alpha and Omega ,Christine Lakin,actor
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,Cindy Robinson,actor
Alvin and the Chipmunks ,Matthew Gray Gubler,actor
Alvin and the Chipmunks: Chipwrecked ,Lauren Gottlieb,actor
Alvin and the Chipmunks: The Road Chip ,Jesse McCartney,actor
Alvin and the Chipmunks: The Squeakquel ,Jesse McCartney,actor
Always Woodstock ,Jason Ritter,actor
Am lie ,Isabelle Nanty,actor
Amadeus ,Tom Hulce,actor
Amen. ,Ulrich M?he,actor
America Is Still the Place ,Mike Colter,actor
American Beauty ,Ara Celi,actor
American Desi ,Anil Kumar,actor
American Dreamz ,Chris Klein,actor
American Gangster ,RZA,actor
American Graffiti ,Mackenzie Phillips,actor
American Heist ,Akon,actor
American Hero ,Michelle Tabora,actor
American History X ,Stacy Keach,actor
American Hustle ,Bradley Cooper,actor
American Ninja 2: The Confrontation ,Larry Poindexter,actor
American Outlaws ,Harris Yulin,actor
American Pie ,Natasha Lyonne,actor
American Pie 2 ,Natasha Lyonne,actor
American Psycho ,Samantha Mathis,actor
American Reunion ,Natasha Lyonne,actor
American Sniper ,Keir O'Donnell,actor
American Splendor ,Daniel Tay,actor
American Wedding ,Fred Willard,actor
America's Sweethearts ,Larry King,actor
Amidst the Devil's Wings ,Barbie Castro,actor
Amigo ,Ronnie Lazaro,actor
Amistad ,Matthew McConaughey,actor
Amnesiac ,Mia Barron,actor
Among Giants ,Rob Jarvis,actor
Amores Perros ,Goya Toledo,actor
Amour ,Jean-Louis Trintignant,actor
An Alan Smithee Film: Burn Hollywood Burn ,Ryan O'Neal,actor
An American Carol ,Gary Coleman,actor
An American Girl Holiday ,Bruce Gooch,actor
An American Haunting ,Vernon Dobtcheff,actor
An American in Hollywood ,Samantha Esteban,actor
An Education ,Ellie Kendrick,actor
An Everlasting Piece ,Pauline McLynn,actor
An Ideal Husband ,Jeremy Northam,actor
An Inconvenient Truth ,,actor
An Unfinished Life ,Lynda Boyd,actor
Anaconda ,Kari Wuhrer,actor
Anacondas: The Hunt for the Blood Orchid ,Johnny Messner,actor
Analyze That ,Joe Viterelli,actor
Analyze This ,Molly Shannon,actor
Anastasia ,Bernadette Peters,actor
Anatomy ,Sebastian Blomberg,actor
Anchorman 2: The Legend Continues ,Steve Carell,actor
Anchorman: The Legend of Ron Burgundy ,Steve Carell,actor
And So It Goes ,Frankie Valli,actor
And Then Came Love ,Eartha Kitt,actor
Anderson's Cross ,Ryan Carnes,actor
Angel Eyes ,Kari Matchett,actor
Angela's Ashes ,Pauline McLynn,actor
Angels & Demons ,Armin Mueller-Stahl,actor
Anger Management             ,Brian Austin Green,actor
Animal House ,Tim Matheson,actor
Animal Kingdom             ,Ellen Barkin,actor
Animal Kingdom: Let's go Ape ,M?lissa Theuriau,actor
Animals ,David Dastmalchian,actor
Animals United ,James Corden,actor
Anna and the King ,Randall Duk Kim,actor
Anna Karenina ,Matthew Macfadyen,actor
Annabelle ,Gabriel Bateman,actor
Anne of Green Gables             ,Megan Follows,actor
Annie ,David Zayas,actor
Annie Get Your Gun ,Betty Hutton,actor
Annie Hall ,Shelley Duvall,actor
Anomalisa ,David Thewlis,actor
Anonymous ,Rafe Spall,actor
Another Earth ,Flint Beverage,actor
Another Happy Day ,Demi Moore,actor
Another Year ,Phil Davis,actor
Antarctic Edge: 70  South ,Mike Brett,actor
Antarctica: A Year on Ice ,Anthony Powell,actor
Antibirth ,Mark Webber,actor
Antitrust ,Ned Bellamy,actor
Antiviral ,Caleb Landry Jones,actor
Ant-Man ,T.I.,actor
Antwone Fisher ,Derek Luke,actor
Antz ,Anne Bancroft,actor
Any Given Sunday ,LL Cool J,actor
Anything Else ,Fisher Stevens,actor
Anywhere But Here ,Shawn Hatosy,actor
Apocalypse Now ,Robert Duvall,actor
Apocalypto ,Jonathan Brewer,actor
Apollo 13 ,Kathleen Quinlan,actor
Apollo 18 ,Andrew Airlie,actor
Appaloosa ,Tom Bower,actor
April Fool's Day ,Clayton Rohner,actor
Aqua Teen Hunger Force Colon Movie Film for Theaters ,Chris Kattan,actor
Aquamarine ,Dichen Lachman,actor
Arachnophobia ,Brian McNamara,actor
Ararat ,Charles Aznavour,actor
Arbitrage ,Reg E. Cathey,actor
Archaeology of a Woman ,Elaine Bromka,actor
Are We There Yet  ,Jay Mohr,actor
Area 51 ,Jelena Nik,actor
Argo ,Tate Donovan,actor
Arlington Road ,Hope Davis,actor
Armageddon ,Will Patton,actor
Armored ,Lorna Raver,actor
Army of Darkness ,Embeth Davidtz,actor
Arn: The Knight Templar ,Vincent Perez,actor
Arnolds Park ,Tac Fitzgerald,actor
Around the World in 80 Days ,C?cile De France,actor
Around the World in 80 Days ,C?cile De France,actor
Aroused ,Kayden Kross,actor
Arthur             ,Daniel Brochu,actor
Arthur and the Invisibles ,Penny Balfour,actor
Arthur Christmas ,Michael Palin,actor
"As Above, So Below ",Perdita Weeks,actor
As Good as It Gets ,Shirley Knight,actor
As It Is in Heaven ,Nils-Anders Vallg?rda,actor
Ask Me Anything ,Cathryn de Prume,actor
Assassins ,Kelly Rowan,actor
Assault on Precinct 13 ,Hugh Dillon,actor
Asterix at the Olympic Games ,Vanessa Hessler,actor
Astro Boy ,Dee Bradley Baker,actor
At First Sight ,Steven Weber,actor
ATL ,Malika,actor
Atlantis: The Lost Empire ,Cree Summer,actor
Atlas Shrugged II: The Strike ,Esai Morales,actor
Atlas Shrugged: Who Is John Galt  ,Kristoffer Polaha,actor
Atonement ,Brenda Blethyn,actor
Attack the Block ,Jodie Whittaker,actor
August ,Edward Conna,actor
August Rush ,Marian Seldes,actor
August: Osage County ,Julia Roberts,actor
Austin Powers in Goldmember ,Robert Wagner,actor
Austin Powers: International Man of Mystery ,Robert Wagner,actor
Austin Powers: The Spy Who Shagged Me ,Robert Wagner,actor
Australia ,Eddie Baroo,actor
Auto Focus ,Kurt Fuller,actor
Automata ,Melanie Griffith,actor
Autumn in New York ,Elaine Stritch,actor
Avatar ,Wes Studi,actor
Avengers: Age of Ultron ,Scarlett Johansson,actor
AVP: Alien vs. Predator ,Raoul Bova,actor
Awake ,Denis O'Hare,actor
Away We Go ,Carmen Ejogo,actor
AWOL-72 ,Brett Wagner,actor
Ayurveda: Art of Being ,,actor
Baahubali: The Beginning ,Prabhas,actor
Babe ,Roscoe Lee Browne,actor
Babe: Pig in the City ,Glenne Headly,actor
Babel ,Dermot Crowley,actor
Baby Boy ,Angell Conwell,actor
Baby Geniuses ,Ruby Dee,actor
Baby Mama ,Romany Malco,actor
Babylon A.D. ,David Belle,actor
Baby's Day Out ,Cynthia Nixon,actor
Bachelorette ,Andrew Rannells,actor
Back to the Future ,J.J. Cohen,actor
Back to the Future Part II ,Thomas F. Wilson,actor
Back to the Future Part III ,Thomas F. Wilson,actor
Bad Boys ,Theresa Randle,actor
Bad Boys II ,Jordi Moll?,actor
Bad Company ,Garcelle Beauvais,actor
Bad Grandpa ,Grasie Mercedes,actor
Bad Lieutenant: Port of Call New Orleans ,Shawn Hatosy,actor
Bad Moms ,Jada Pinkett Smith,actor
Bad Moms ,Jada Pinkett Smith,actor
Bad Santa ,Alex Borstein,actor
Bad Teacher ,Phyllis Smith,actor
Bad Words ,Patricia Belcher,actor
Baggage Claim ,Boris Kodjoe,actor
Baghead ,Elise Muller,actor
Bait ,Richard Brancatisano,actor
Ballistic: Ecks vs. Sever ,Gregg Henry,actor
Bambi ,Ann Gillis,actor
Bamboozled ,Jada Pinkett Smith,actor
Bananas ,Louise Lasser,actor
Bandidas ,Dwight Yoakam,actor
Bandits ,Azura Skye,actor
Bandslam ,Ryan Donowho,actor
Bang ,James Noble,actor
Bang Bang Baby ,Kristian Bruun,actor
Bangkok Dangerous ,James With,actor
Banshee Chapter ,Michael McMillian,actor
Barbarella ,Milo O'Shea,actor
Barbecue ,Lionel Abelanski,actor
Barbershop ,Cedric the Entertainer,actor
Barbershop 2: Back in Business ,Kenan Thompson,actor
Barfi ,Dileep Raj,actor
Barney's Great Adventure ,Shirley Douglas,actor
Barney's Version ,Paul Gross,actor
Barnyard ,Maurice LaMarche,actor
Barry Lyndon ,Hardy Kr?ger,actor
Barry Munday ,Shea Whigham,actor
Basic ,Tim Daly,actor
Basic Instinct 2 ,Neil Maskell,actor
Basquiat ,Courtney Love,actor
Bathing Beauty ,Red Skelton,actor
Bathory: Countess of Blood ,Franco Nero,actor
Batman ,William Hootkins,actor
Batman & Robin ,John Glover,actor
Batman Begins ,Morgan Freeman,actor
Batman Forever ,Debi Mazar,actor
Batman Returns ,Andrew Bryniarski,actor
Batman v Superman: Dawn of Justice ,Alan D. Purwin,actor
"Batman: The Dark Knight Returns, Part 2 ",Grey Griffin,actor
Batman: The Movie ,Burt Ward,actor
Bats ,Ned Bellamy,actor
Battle for the Planet of the Apes ,Claude Akins,actor
Battle Los Angeles ,Ramon Rodriguez,actor
Battle of the Year ,Laz Alonso,actor
Battlefield Earth ,John Topor,actor
Battleship ,Tadanobu Asano,actor
Be Cool ,Debi Mazar,actor
Be Kind Rewind ,Melonie Diaz,actor
Beastly ,Erik Knudsen,actor
Beastmaster 2: Through the Portal of Time ,Marc Singer,actor
Beasts of the Southern Wild ,Dwight Henry,actor
Beautiful Creatures ,Pruitt Taylor Vince,actor
Beauty Shop ,LisaRaye McCoy,actor
Beavis and Butt-Head Do America ,John Doman,actor
Because I Said So ,Tom Everett Scott,actor
Because of Winn-Dixie ,Eva Marie Saint,actor
Becoming Jane ,Laurence Fox,actor
Bedazzled ,Brian Doyle-Murray,actor
Bedtime Stories ,Kathryn Joosten,actor
Bee Movie ,Rip Torn,actor
Beer League ,Seymour Cassel,actor
Beerfest ,Jay Chandrasekhar,actor
Beetlejuice ,Glenn Shadix,actor
Before I Go to Sleep ,Anne-Marie Duff,actor
Before Midnight ,Athina Rachel Tsangari,actor
Before Sunrise ,Dominik Castell,actor
Before Sunset ,Marie Pillet,actor
Begin Again ,Mary Catherine Garrison,actor
Beginners ,Mary Page Keller,actor
Behind Enemy Lines ,Sam Jaeger,actor
Being John Malkovich ,Mary Kay Place,actor
Being Julia ,Juliet Stevenson,actor
Bella ,Eduardo Ver?stegui,actor
Beloved ,Hill Harper,actor
Below Zero ,Michael Eisner,actor
Bend It Like Beckham ,Anupam Kher,actor
Bending Steel ,,actor
Beneath Hill 60 ,Steve Le Marquand,actor
Beneath the Planet of the Apes ,Victor Buono,actor
Ben-Hur ,Moises Arias,actor
Ben-Hur ,Moises Arias,actor
Ben-Hur ,Moises Arias,actor
Benji ,Edgar Buchanan,actor
Beowulf ,Sebastian Roch?,actor
Bernie ,Rick Dial,actor
Best in Show ,Michael McKean,actor
Better Luck Tomorrow ,Collin Kahey,actor
Beverly Hills Chihuahua ,Ali Hillis,actor
Beverly Hills Cop ,James Russo,actor
Beverly Hills Cop II ,Ronny Cox,actor
Beverly Hills Cop III ,Gilbert R. Hill,actor
Bewitched             ,Dick York,actor
Beyond Borders ,Noah Emmerich,actor
Beyond the Black Rainbow ,Eva Bourne,actor
Beyond the Lights ,Darryl Stephens,actor
Beyond the Mat ,Mick Foley,actor
Beyond the Sea ,Brenda Blethyn,actor
Beyond the Valley of the Dolls ,Harrison Page,actor
B-Girl ,Drew Sidora,actor
Bicentennial Man ,John Michael Higgins,actor
Big ,John Heard,actor
Big Daddy ,Joey Lauren Adams,actor
Big Eyes ,Jon Polito,actor
Big Fat Liar ,Lee Majors,actor
Big Fat Liar ,Lee Majors,actor
Big Fish ,Albert Finney,actor
Big Hero 6 ,Abraham Benrubi,actor
Big Miracle ,Andrew Daly,actor
Big Momma's House ,Tichina Arnold,actor
Big Momma's House 2 ,Marisol Nichols,actor
"Big Mommas: Like Father, Like Son ",Portia Doubleday,actor
Big Trouble ,Omar Epps,actor
Big Trouble in Little China ,Peter Kwong,actor
Bill & Ted's Bogus Journey ,Alex Winter,actor
Bill & Ted's Excellent Adventure ,Al Leong,actor
Billy Elliot ,Jamie Draven,actor
Birdman or (The Unexpected Virtue of Ignorance) ,Merritt Wever,actor
Birth ,Danny Huston,actor
Birthday Girl ,Ben Chaplin,actor
Biutiful ,Eduard Fern?ndez,actor
Bizarre ,Raquel Nave,actor
Black Book ,Christian Berkel,actor
Black Christmas ,Andrea Martin,actor
Black Hawk Down ,Ewen Bremner,actor
Black Knight ,Vincent Regan,actor
Black Mass ,Adam Scott,actor
Black Nativity ,Vondie Curtis-Hall,actor
Black November ,Razaaq Adoti,actor
Black or White ,Jillian Estell,actor
Black Rain ,Kate Capshaw,actor
Black Rock ,Jay Paulson,actor
Black Snake Moan ,S. Epatha Merkerson,actor
Black Swan ,Mark Margolis,actor
Black Water Transit ,Beverly D'Angelo,actor
Blackhat ,Brandon Molale,actor
Blackthorn ,Stephen Rea,actor
Blade ,Udo Kier,actor
Blade II ,Tony Curran,actor
Blade Runner ,M. Emmet Walsh,actor
Blade: Trinity ,John Michael Higgins,actor
Blades of Glory ,Jon Heder,actor
Blast from the Past ,Douglas Smith,actor
Blazing Saddles ,Harvey Korman,actor
Bled ,Michele Morrow,actor
Bleeding Hearts ,Dustin Diamond,actor
Blended ,Joel McHale,actor
Bless the Child ,Angela Bettis,actor
Blindness ,Y?suke Iseya,actor
Blonde Ambition ,Larry Miller,actor
Blood and Chocolate ,Chris Geere,actor
Blood and Wine ,Judy Davis,actor
Blood Diamond ,Stephen Collins,actor
Blood Done Sign My Name ,Lee Norris,actor
"Blood In, Blood Out ",Raymond Cruz,actor
Blood Ties ,Billy Crudup,actor
Blood Work ,Rick Hoffman,actor
BloodRayne ,Michael Par?,actor
Bloodsport ,Ken Siu,actor
Bloody Sunday ,Tim Pigott-Smith,actor
Blow ,Jordi Moll?,actor
Blow Out ,John McMartin,actor
Blue Car ,A.J. Buckley,actor
Blue Crush ,Sanoe Lake,actor
Blue Jasmine ,Andrew Dice Clay,actor
Blue Like Jazz ,Eric Lange,actor
Blue Ruin ,Amy Hargreaves,actor
Blue Streak ,Tamala Jones,actor
Blue Valentine ,John Doman,actor
Boat Trip ,Bob Gunton,actor
Bobby ,Brian Geraghty,actor
Bobby Jones: Stroke of Genius ,Paul Freeman,actor
Body Double ,Gregg Henry,actor
Body of Lies ,Michael Gaston,actor
Bodyguards and Assassins ,Nicholas Tse,actor
Bogus ,Andrea Martin,actor
Boiler Room ,Herbert Russell,actor
Bolt ,James Lipton,actor
Bon Cop Bad Cop ,Sarain Boylan,actor
Bon voyage ,Virginie Ledoyen,actor
Bones             ,Tamara Taylor,actor
Boogeyman ,Charles Mesure,actor
Boogie Nights ,Nina Hartley,actor
Book of Shadows: Blair Witch 2 ,Kurt Loder,actor
Boom Town ,Claudette Colbert,actor
Boomerang ,Geoffrey Holder,actor
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Chester,actor
Born of War ,Lisa Kay,actor
Born on the Fourth of July ,Stephen Baldwin,actor
Born to Fly: Elizabeth Streb vs. Gravity ,Laura Flanders,actor
Bottle Rocket ,Lumi Cavazos,actor
Bottle Shock ,Greg Collins,actor
Bound ,Peter Spellos,actor
Bowfinger ,Jamie Kennedy,actor
Bowling for Columbine ,Bill Clinton,actor
Boyhood ,Libby Villari,actor
Boynton Beach Club ,Brenda Vaccaro,actor
Boys and Girls ,Tsianina Joelson,actor
Boys Don't Cry ,Jeannetta Arnette,actor
Boyz n the Hood ,Na'Blonka Durden,actor
Br no ,Slash,actor
BrainDead             ,Zach Grenier,actor
Bram Stoker's Dracula ,Gary Oldman,actor
Bran Nue Dae ,Jessica Mauboy,actor
Brave ,Julie Walters,actor
Brave New Girl ,Lindsey Haun,actor
Braveheart ,James Robinson,actor
Brazil ,Jim Broadbent,actor
Breakdown ,J.T. Walsh,actor
Breakfast of Champions ,Omar Epps,actor
Breakin' All the Rules ,Patrick Cranshaw,actor
Breaking Upwards ,Ebon Moss-Bachrach,actor
Brick Lane ,Tannishtha Chatterjee,actor
Brick Mansions ,RZA,actor
Bride & Prejudice ,Anupam Kher,actor
Bride of Chucky ,Vince Corazza,actor
Bride Wars ,Candice Bergen,actor
Bridesmaids ,Steve Bannos,actor
Bridge of Spies ,Amy Ryan,actor
Bridge to Terabithia ,Bailee Madison,actor
Bridget Jones: The Edge of Reason ,Celia Imrie,actor
Bridget Jones's Diary ,Shirley Henderson,actor
Brigham City ,Rick Macy,actor
"Bright Lights, Big City ",Swoosie Kurtz,actor
Bright Star ,Samuel Roukin,actor
Brighton Rock ,Geoff Bell,actor
Bring It On ,Clare Kramer,actor
Bringing Down the House ,Steve Harris,actor
Bringing Out the Dead ,Sonja Sohn,actor
