director_name,duration,actor_2_name,gross,actor_1_name,movie_title,num_voted_users,actor_3_name,language,country,budget,title_year,imdb_score,Action,Adventure,Fantasy,Sci-Fi,Thriller,Documentary,Family,Musical,Romance,Mystery,Western,Comedy,Sport,Horror,Drama,War,History,Animation,Biography,Crime
Francis Lawrence,123,Philip Seymour Hoffman,337103873,Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1?,305008,Josh Hutcherson,English,USA,125000000,2014,6.7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Nolan,148,Tom Hardy,292568851,Leonardo DiCaprio,Inception?,1468200,Joseph Gordon-Levitt,English,USA,160000000,2010,8.8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Burton,113,Chlo? Grace Moretz,79711678,Johnny Depp,Dark Shadows?,199039,Christopher Lee,English,USA,100000000,2012,6.2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
James Bobin,113,Alan Rickman,76846624,Johnny Depp,Alice Through the Looking Glass?,21352,Anne Hathaway,English,USA,170000000,2016,6.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Burton,108,Alan Rickman,334185206,Johnny Depp,Alice in Wonderland?,306320,Anne Hathaway,English,USA,200000000,2010,6.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Burton,108,Alan Rickman,334185206,Johnny Depp,Alice in Wonderland?,306336,Anne Hathaway,English,USA,200000000,2010,6.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
James Wan,140,Paul Walker,350034110,Jason Statham,Furious 7?,278232,Vin Diesel,English,USA,190000000,2015,7.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Justin Chadwick,115,Scarlett Johansson,26814957,Natalie Portman,The Other Boleyn Girl?,84357,Benedict Cumberbatch,English,UK,35000000,2008,6.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
David G. Evans,101,Chris Thomas,2428241,Michael Joiner,The Grace Card?,2099,Michael Higgenbottom,English,USA,200000,2010,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
David O. Russell,124,Robert De Niro,56443482,Jennifer Lawrence,Joy?,75329,Bradley Cooper,English,USA,60000000,2015,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Tom Shadyac,115,Philip Seymour Hoffman,135014968,Robin Williams,Patch Adams?,80580,Monica Potter,English,USA,50000000,1998,6.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Justin Zackham,89,Robert De Niro,21784432,Robin Williams,The Big Wedding?,37493,Topher Grace,English,USA,35000000,2013,5.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sam Raimi,130,Mila Kunis,234903076,Tim Holmes,Oz the Great and Powerful?,175409,James Franco,English,USA,215000000,2013,6.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Raimi,130,Mila Kunis,234903076,Tim Holmes,Oz the Great and Powerful?,175413,James Franco,English,USA,215000000,2013,6.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rupert Sanders,132,Kristen Stewart,155111815,Chris Hemsworth,Snow White and the Huntsman?,228554,Sam Claflin,English,USA,170000000,2012,6.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
David O. Russell,122,Robert De Niro,132088910,Jennifer Lawrence,Silver Linings Playbook?,533607,Bradley Cooper,English,USA,21000000,2012,7.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Barry Levinson,104,Robin Wright,1089365,Robert De Niro,What Just Happened?,23767,Kristen Stewart,English,USA,25000000,2008,5.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
George Miller,108,Hugh Jackman,197992827,Robin Williams,Happy Feet?,132501,Elizabeth Daily,English,USA,100000000,2006,6.5,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
Lasse Hallstr?m,118,Leonardo DiCaprio,9170214,Johnny Depp,What's Eating Gilbert Grape?,171882,Kevin Tighe,English,USA,11000000,1993,7.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Anthony Russo,147,Scarlett Johansson,407197282,Robert Downey Jr.,Captain America: Civil War?,272670,Chris Evans,English,USA,250000000,2016,8.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Mann,140,Christian Bale,97030725,Johnny Depp,Public Enemies?,230931,Stephen Graham,English,USA,100000000,2009,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1
Steven Spielberg,142,Julia Roberts,119654900,Robin Williams,Hook?,182802,Bob Hoskins,English,USA,70000000,1991,6.7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris Weitz,130,Kristen Stewart,296623634,Robert Pattinson,The Twilight Saga: New Moon?,220758,Taylor Lautner,English,USA,50000000,2009,4.6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Christopher Nolan,130,Hugh Jackman,53082743,Christian Bale,The Prestige?,844052,Scarlett Johansson,English,USA,40000000,2006,8.5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Scott Cooper,123,Benedict Cumberbatch,62563543,Johnny Depp,Black Mass?,115216,Adam Scott,English,USA,53000000,2015,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Gus Van Sant,126,Matt Damon,138339411,Robin Williams,Good Will Hunting?,604904,Minnie Driver,English,USA,10000000,1997,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jerry Zaks,98,Robert De Niro,12782508,Leonardo DiCaprio,Marvin's Room?,20163,Meryl Streep,English,USA,23000000,1996,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bibo Bergeron,90,Martin Scorsese,160762022,Robert De Niro,Shark Tale?,132415,Angelina Jolie Pitt,English,USA,75000000,2004,6,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Rob Marshall,125,Meryl Streep,127997349,Johnny Depp,Into the Woods?,101178,Anna Kendrick,English,USA,50000000,2014,6,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
George Miller,100,Brad Pitt,63992328,Robin Williams,Happy Feet 2?,32399,Common,English,Australia,135000000,2011,5.9,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Anthony Minghella,154,Natalie Portman,95632614,Philip Seymour Hoffman,Cold Mountain?,118483,Charlie Hunnam,English,USA,79000000,2003,7.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
Tim Burton,77,Christopher Lee,53337608,Johnny Depp,Corpse Bride?,188785,Joanna Lumley,English,USA,40000000,2005,7.4,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
Mike Nichols,102,Tom Hanks,66636385,Philip Seymour Hoffman,Charlie Wilson's War?,88451,Jud Tylor,English,USA,75000000,2007,7.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Kenneth Branagh,115,Natalie Portman,181015141,Chris Hemsworth,Thor?,536314,Anthony Hopkins,English,USA,150000000,2011,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Taylor,112,Natalie Portman,206360018,Chris Hemsworth,Thor: The Dark World?,414070,Anthony Hopkins,English,USA,170000000,2013,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christopher Nolan,128,Liam Neeson,205343774,Christian Bale,Batman Begins?,980946,Morgan Freeman,English,USA,150000000,2005,8.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bill Condon,115,Kristen Stewart,292298923,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2?,185394,Taylor Lautner,English,USA,120000000,2012,5.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Bill Condon,115,Kristen Stewart,292298923,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2?,185394,Taylor Lautner,English,USA,120000000,2012,5.5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Marc Forster,101,Kate Winslet,51676606,Johnny Depp,Finding Neverland?,174591,Kelly Macdonald,English,USA,25000000,2004,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
David Yates,153,Daniel Radcliffe,301956980,Alan Rickman,Harry Potter and the Half-Blood Prince?,321795,Rupert Grint,English,UK,250000000,2009,7.5,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Richard Donner,132,Sylvester Stallone,30306268,Muse Watson,Assassins?,62981,Kelly Rowan,English,France,50000000,1995,6.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Simon West,103,Sylvester Stallone,85017401,Jason Statham,The Expendables 2?,246803,Bruce Willis,English,USA,92000000,2012,6.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Burton,115,Christopher Lee,206456431,Johnny Depp,Charlie and the Chocolate Factory?,320284,David Kelly,English,USA,150000000,2005,6.7,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Christopher Nolan,152,Heath Ledger,533316061,Christian Bale,The Dark Knight?,1676169,Morgan Freeman,English,USA,185000000,2008,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Glenn Ficarra,118,Emma Stone,84244877,Ryan Gosling,"Crazy, Stupid, Love.?",375456,Steve Carell,English,USA,50000000,2011,7.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Adam McKay,130,Christian Bale,70235322,Ryan Gosling,The Big Short?,182983,Charlie Talbert,English,USA,28000000,2015,7.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Alejandro G. I??rritu,156,Tom Hardy,183635922,Leonardo DiCaprio,The Revenant?,406020,Lukas Haas,English,USA,135000000,2015,8.1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
George Clooney,101,Philip Seymour Hoffman,40962534,Ryan Gosling,The Ides of March?,188652,Jennifer Ehle,English,USA,12500000,2011,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tim Burton,127,Bill Murray,5887457,Johnny Depp,Ed Wood?,142416,Martin Landau,English,USA,18000000,1994,7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Mike Newell,147,Al Pacino,41954997,Johnny Depp,Donnie Brasco?,225122,Anne Heche,English,USA,35000000,1997,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Shawn Levy,108,Rami Malek,250863268,Robin Williams,Night at the Museum?,234480,Steve Coogan,English,USA,110000000,2006,6.4,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Justin Lin,132,Vin Diesel,209805005,Paul Walker,Fast Five?,284792,Dwayne Johnson,English,USA,125000000,2011,7.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris Columbus,132,Oliver Platt,58220776,Robin Williams,Bicentennial Man?,87785,John Michael Higgins,English,USA,100000000,1999,6.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Florian Henckel von Donnersmarck,103,Angelina Jolie Pitt,67631157,Johnny Depp,The Tourist?,176598,Rufus Sewell,English,USA,100000000,2010,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Florian Henckel von Donnersmarck,103,Angelina Jolie Pitt,67631157,Johnny Depp,The Tourist?,176606,Rufus Sewell,English,USA,100000000,2010,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boaz Yakin,120,Denzel Washington,115648585,Ryan Gosling,Remember the Titans?,160776,Ethan Suplee,English,USA,30000000,2000,7.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
James David Pasternak,85,Sarah Silverman,7826,Robin Williams,Certifiably Jonathan?,132,Jonathan Winters,English,USA,1200000,2007,6.2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rob Marshall,136,Sam Claflin,241063875,Johnny Depp,Pirates of the Caribbean: On Stranger Tides?,370704,Stephen Graham,English,USA,250000000,2011,6.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Webb,95,Chlo? Grace Moretz,32391374,Joseph Gordon-Levitt,500 Days of Summer?,376600,Zooey Deschanel,English,USA,7500000,2009,7.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Shawn Levy,105,Rami Malek,177243721,Robin Williams,Night at the Museum: Battle of the Smithsonian?,130272,Steve Coogan,English,USA,150000000,2009,5.9,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Wally Pfister,119,Morgan Freeman,23014504,Johnny Depp,Transcendence?,172707,Clifton Collins Jr.,English,UK,100000000,2014,6.3,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Sam Mendes,119,Kate Winslet,22877808,Leonardo DiCaprio,Revolutionary Road?,152591,Joe Komara,English,USA,35000000,2008,7.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Shawn Levy,98,Rami Malek,113733726,Robin Williams,Night at the Museum: Secret of the Tomb?,67223,Steve Coogan,English,USA,127000000,2014,6.2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Mike Newell,157,Daniel Radcliffe,289994397,Robert Pattinson,Harry Potter and the Goblet of Fire?,385670,Rupert Grint,English,UK,150000000,2005,7.6,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Walt Becker,88,Bernie Mac,49474048,Robin Williams,Old Dogs?,31191,Ann-Margret,English,USA,35000000,2009,5.4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bennett Miller,133,Robin Wright,75605492,Philip Seymour Hoffman,Moneyball?,283563,Brad Pitt,English,USA,50000000,2011,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Rob Bowman,101,Gerard Butler,43060566,Christian Bale,Reign of Fire?,107859,Matthew McConaughey,English,USA,60000000,2002,6.2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ron Clements,90,Frank Welker,217350219,Robin Williams,Aladdin?,260939,Scott Weinger,English,USA,28000000,1992,8,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0
Danny DeVito,109,Vincent Schiavelli,8355815,Robin Williams,Death to Smoochy?,34730,Danny Woodburn,English,UK,55000000,2002,6.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Rand Ravich,109,Charlize Theron,10654581,Johnny Depp,The Astronaut's Wife?,45497,Clea DuVall,English,USA,34000000,1999,5.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rand Ravich,109,Charlize Theron,10654581,Johnny Depp,The Astronaut's Wife?,45500,Clea DuVall,English,USA,34000000,1999,5.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Patrick Hughes,131,Sylvester Stallone,39292022,Jason Statham,The Expendables 3?,127258,Harrison Ford,English,USA,90000000,2014,6.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry Levinson,115,Tina Fey,37442180,Robin Williams,Man of the Year?,28005,Amy Poehler,English,USA,20000000,2006,6.2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Ken Kwapis,91,Christine Taylor,43792641,Robin Williams,License to Wed?,32157,Mindy Kaling,English,USA,35000000,2007,5.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
David Slade,124,Kristen Stewart,300523113,Robert Pattinson,The Twilight Saga: Eclipse?,184637,Anna Kendrick,English,USA,68000000,2010,4.9,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Chris Columbus,125,Mara Wilson,219200000,Robin Williams,Mrs. Doubtfire?,181380,Matthew Lawrence,English,USA,25000000,1993,6.9,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0
Mark Romanek,96,Gary Cole,31597131,Robin Williams,One Hour Photo?,97938,Connie Nielsen,English,USA,12000000,2002,6.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jeremy Leven,97,Marlon Brando,22200000,Johnny Depp,Don Juan DeMarco?,41310,Faye Dunaway,English,USA,25000000,1994,6.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Lori Petty,93,Chlo? Grace Moretz,,Jennifer Lawrence,The Poker House?,3943,Bokeem Woodbine,English,USA,,2008,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Peter Kassovitz,120,Mark Margolis,4956401,Robin Williams,Jakob the Liar?,12601,Michael Jeter,English,France,15000000,1999,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Peter Weir,128,Josh Charles,95860116,Robin Williams,Dead Poets Society?,277451,Kurtwood Smith,English,USA,16400000,1989,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
David Duchovny,96,Mark Margolis,371081,Robin Williams,House of D?,7479,Frank Langella,English,USA,6000000,2004,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Brian Klugman,102,Bradley Cooper,11434867,J.K. Simmons,The Words?,59637,Olivia Wilde,English,USA,6000000,2012,7.1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Matthew Vaughn,132,Michael Fassbender,146405371,Jennifer Lawrence,X-Men: First Class?,518537,Oliver Platt,English,USA,160000000,2011,7.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gavin Hood,122,Jake Gyllenhaal,9664316,J.K. Simmons,Rendition?,47203,Meryl Streep,English,USA,27500000,2007,6.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kirsten Sheridan,114,Aaron Staton,31655091,Robin Williams,August Rush?,87331,Marian Seldes,English,USA,30000000,2007,7.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Patrick Stettner,81,Joe Morton,7825820,Robin Williams,The Night Listener?,13086,Rory Culkin,English,USA,4000000,2006,5.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Bobcat Goldthwait,99,Daryl Sabara,221210,Robin Williams,World's Greatest Dad?,31964,Henry Simmons,English,USA,,2009,6.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
David Ayer,116,Christian Bale,3335839,J.K. Simmons,Harsh Times?,54657,Noel Gugliemi,English,USA,2000000,2005,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Jim Gillespie,99,Sarah Michelle Gellar,72219395,Muse Watson,I Know What You Did Last Summer?,105585,Anne Heche,English,USA,17000000,1997,5.6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Barry Levinson,121,J.T. Walsh,123922370,Robin Williams,"Good Morning, Vietnam?",98348,Bruno Kirby,English,USA,13000000,1987,7.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
Les Mayfield,90,Jodi Benson,92969824,Robin Williams,Flubber?,63625,Sam Lloyd,English,USA,80000000,1997,5.2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gary Ross,142,Josh Hutcherson,407999255,Jennifer Lawrence,The Hunger Games?,701607,Anthony Reynolds,English,USA,78000000,2012,7.3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Quentin Tarantino,187,Jennifer Jason Leigh,54116191,Craig Stark,The Hateful Eight?,272839,Zo? Bell,English,USA,44000000,2015,7.9,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
Danny Cannon,100,Mekhi Phifer,39989008,Muse Watson,I Still Know What You Did Last Summer?,55398,Bill Cobbs,English,USA,24000000,1998,4.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Frank Coraci,117,Adam Sandler,46280507,Bella Thorne,Blended?,87165,Joel McHale,English,USA,40000000,2014,6.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Bryan Singer,144,Michael Fassbender,154985087,Jennifer Lawrence,X-Men: Apocalypse?,148379,Tye Sheridan,English,USA,178000000,2016,7.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Ward,113,Annabella Sciorra,55350897,Robin Williams,What Dreams May Come?,83560,Rosalind Chao,English,USA,85000000,1998,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Gary McKendry,116,Robert De Niro,25093607,Jason Statham,Killer Elite?,105556,Ben Mendelsohn,English,UK,35000000,2011,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frank Miller,102,Bruce Willis,13750556,Joseph Gordon-Levitt,Sin City: A Dame to Kill For?,111102,Eva Green,English,USA,65000000,2014,6.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Francis Lawrence,146,Josh Hutcherson,424645577,Jennifer Lawrence,The Hunger Games: Catching Fire?,498397,Sandra Ellis Lafferty,English,USA,130000000,2013,7.6,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Zemeckis,96,Colin Firth,137850096,Robin Wright,A Christmas Carol?,72809,Gary Oldman,English,USA,200000000,2009,6.8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
