movie	title_year	duration	gross	imdb_score	budget
A Dog's Breakfast 	2007	88		7	120000
A Dog's Breakfast 	2007	88		7	120000
A Farewell to Arms 	1932	79		6.6	800000
A Few Good Men 	1992	138	141340178	7.6	40000000
A Fine Step 	2014	111		5.3	1000000
A Fistful of Dollars 	1964	99	3500000	8	200000
A Funny Thing Happened on the Way to the Forum 	1966	99		7	2000000
A Good Day to Die Hard 	2013	101	67344392	5.3	92000000
A Good Year 	2006	117	7458269	6.9	35000000
A Guy Named Joe 	1943	122		7	2627000
A Guy Thing 	2003	101	15408822	5.6	20000000
A Hard Day's Night 	1964	87	515005	7.7	560000
A Haunted House 	2013	86	40041683	5.1	2500000
A Haunted House 2 	2014	86	17314483	4.7	4000000
A History of Violence 	2005	96	31493782	7.5	32000000
A Home at the End of the World 	2004	97	1029017	6.8	6500000
A Knight's Tale 	2001	144	56083966	6.9	65000000
A League of Their Own 	1992	128	107458785	7.2	40000000
A Lego Brickumentary 	2014	93	100240	6.8	1000000
A Lonely Place to Die 	2011	99		6.3	4000000
A Lot Like Love 	2005	107	21835784	6.6	30000000
A Low Down Dirty Shame 	1994	100	29392418	5.8	10000000
A Madea Christmas 	2013	100	52528330	4.7	25000000
A Man Apart 	2003	109	26183197	6.1	36000000
A Man for All Seasons 	1966	120		7.9	2000000
A Mighty Heart 	2007	108	9172810	6.7	16000000
A Mighty Wind 	2003	91	17508936	7.3	
A Million Ways to Die in the West 	2014	136	42615685	6.1	40000000
A Monster in Paris 	2011	90		6.8	25000000
A Most Violent Year 	2014	125	5749134	7	20000000
A Most Wanted Man 	2014	122	17237244	6.8	15000000
A Night at the Roxbury 	1998	82	30324946	6.2	17000000
A Nightmare on Elm Street 	1984	101	26505000	7.5	1800000
A Nightmare on Elm Street 	1984	101	26505000	7.5	1800000
A Nightmare on Elm Street 2: Freddy's Revenge 	1985	87	30000000	5.4	2200000
A Nightmare on Elm Street 3: Dream Warriors 	1987	88	44793200	6.6	4500000
A Nightmare on Elm Street 4: The Dream Master 	1988	99	49369900	5.7	7000000
A Nightmare on Elm Street 5: The Dream Child 	1989	89	22168359	5.1	8000000
A Passage to India 	1984	164	26400000	7.4	16000000
A Perfect Getaway 	2009	108	15483540	6.5	14000000
A Perfect Plan 	2012	104		6.3	17000000
A Plague So Pleasant 	2013	76		6.3	1400
A Prairie Home Companion 	2006	105	20338609	6.8	10000000
A Room for Romeo Brass 	1999	90	18434	7.7	
A Room with a View 	1985	117	20966644	7.4	3000000
A Scanner Darkly 	2006	100	5480996	7.1	8700000
A Separation 	2011	123	7098492	8.4	500000
A Serious Man 	2009	106	9190525	7	7000000
A Shine of Rainbows 	2009	101		7.2	6000000
A Simple Plan 	1998	121	16311763	7.5	17000000
A Simple Wish 	1997	89	8119205	5.4	28000000
A Single Man 	2009	99	9166863	7.6	7000000
A Sound of Thunder 	2005	102	1891821	4.2	52000000
A Streetcar Named Desire 	1951	125		8	1800000
A Tale of Three Cities 	2015	130		6.2	12000000
A Thin Line Between Love and Hate 	1996	108	34746109	5.6	8000000
A Thousand Words 	2012	91	18438149	5.9	40000000
A Time to Kill 	1996	149	108706165	7.4	40000000
A Touch of Frost             		105		7.8	
A True Story 	2013	96		5.5	45000
A Turtle's Tale: Sammy's Adventures 	2010	88		6.1	
A Very Harold & Kumar 3D Christmas 	2011	90	35033759	6.3	19000000
A Very Long Engagement 	2004	133	6167817	7.7	47000000
A View to a Kill 	1985	131	50300000	6.3	30000000
A Walk Among the Tombstones 	2014	114	25977365	6.5	28000000
A Walk on the Moon 	1999	107	4741987	6.6	14000000
A Walk to Remember 	2002	101	41227069	7.4	11000000
A Warrior's Tail 	2015	85		4.1	30000000
"A Woman, a Gun and a Noodle Shop "	2009	95	190666	5.7	
"A Woman, a Gun and a Noodle Shop "	2009	95	190666	5.7	
A.I. Artificial Intelligence 	2001	146	78616689	7.1	100000000
Abandon 	2002	99	10719367	4.9	25000000
Abandoned 	2015	86		6.3	
ABCD (Any Body Can Dance) 	2013	160	95236	6.4	
Abduction 	2011	106	28064226	5	35000000
Aberdeen 	2000	106	64148	7.3	6500000
About a Boy 	2002	101	40566655	7.1	30000000
About Last Night 	2014	100	48637684	6.1	12500000
About Schmidt 	2002	125	65010106	7.2	30000000
About Time 	2013	123	15294553	7.8	12000000
Abraham Lincoln: Vampire Hunter 	2012	105	37516013	5.9	69000000
Absentia 	2011	87		5.8	70000
Absolute Power 	1997	121	50007168	6.7	50000000
Accidental Love 	2015	100		4	26000000
Ace Ventura: Pet Detective 	1994	78	72217000	6.9	12000000
Ace Ventura: When Nature Calls 	1995	90	108360000	6.3	30000000
Across the Universe 	2007	133	24343673	7.4	45000000
Across the Universe 	2007	133	24343673	7.4	45000000
Act of Valor 	2012	110	70011073	6.5	12000000
Action Jackson 	1988	96	20257000	5.2	7000000
Adam 	2009	99	2277396	7.2	
Adam Resurrected 	2008	106		6.3	10000000
Adaptation. 	2002	81	22245861	7.7	19000000
Addicted 	2014	106	17382982	5.2	5000000
Admission 	2013	107	18004225	5.7	13000000
Adore 	2013	112	317125	6.2	16000000
Adulterers 	2015	91		4.9	750000
Adventureland 	2009	107	16025394	6.8	
After 	2012	90		5.4	650000
After Earth 	2013	100	60522097	4.9	130000000
After the Sunset 	2004	97	28328132	6.3	58000000
After.Life 	2009	104	108229	5.9	4500000
Against the Ropes 	2004	110	5881504	5.3	39000000
Against the Wild 	2013	90		4.7	2000000
Agent Cody Banks 	2003	102	47285499	5	26000000
Agent Cody Banks 2: Destination London 	2004	100	23222861	4.5	26000000
Agora 	2009	141	617840	7.2	70000000
Aimee & Jaguar 	1999	125	927107	7.3	15000000
Air Bud 	1997	98	24629916	5.1	3000000
Air Force One 	1997	124	172620724	6.4	85000000
Airborne 	1993	91	2850263	6.2	2600000
Airlift 	2016	130		8.5	4400000
Airplane! 	1980	88	83400000	7.8	3500000
Ajami 	2009	124	621240	7.4	
Akeelah and the Bee 	2006	112	18811135	7.5	
Akira 	1988	124	439162	8.1	1100000000
Aladdin 	1992	90	217350219	8	28000000
Albert Nobbs 	2011	113	3014541	6.7	8000000
Albino Alligator 	1996	97	326308	6.1	5000000
Alex & Emma 	2003	96	14208384	5.6	30000000
Alex Cross 	2012	101	25863915	5.1	35000000
Alex Rider: Operation Stormbreaker 	2006	93	652526	5.1	40000000
Alexander 	2004	206	34293771	5.5	155000000
"Alexander and the Terrible, Horrible, No Good, Very Bad Day "	2014	81	66950483	6.2	28000000
Alexander's Ragtime Band 	1938	106		7	2000000
Alfie 	2004	103	13395939	6.2	60000000
Ali 	2001	165	58183966	6.8	107000000
Alias Betty 	2001	103	206400	6.9	50000000
Alice in Wonderland 	2010	108	334185206	6.5	200000000
Alice in Wonderland 	2010	108	334185206	6.5	200000000
Alice Through the Looking Glass 	2016	113	76846624	6.4	170000000
Alien 	1979	116	78900000	8.5	11000000
Alien 3 	1992	145	55473600	6.4	50000000
Alien Uprising 	2012	101		3.1	2500000
Alien Zone 	1978	79		4.1	350000
Alien: Resurrection 	1997	116	47748610	6.3	75000000
Aliens 	1986	154	85200000	8.4	18500000
Aliens in the Attic 	2009	86	25200412	5.4	45000000
Aliens vs. Predator: Requiem 	2007	102	41797066	4.7	40000000
Alive 	1993	120	36733909	7.1	32000000
All About Steve 	2009	99	33860010	4.8	15000000
All About the Benjamins 	2002	95	25482931	5.7	14000000
All Good Things 	2010	101	578382	6.3	
All Hat 	2007	89		5.3	5000000
All Is Bright 	2013	107	4556	5.6	
All Is Lost 	2013	106	6262942	6.9	9000000
All or Nothing 	2002	121	112935	7.6	9000000
All Superheroes Must Die 	2011	78		4	20000
All That Jazz 	1979	123		7.8	
All the Boys Love Mandy Lane 	2006	90		5.6	750000
All the King's Men 	2006	128	7221458	6.2	55000000
All the Pretty Horses 	2000	220	15527125	5.8	57000000
All the Queen's Men 	2001	105	22723	4.5	25000000
All the Real Girls 	2003	108	548712	6.9	2500000
Allegiant 	2016	120	66002193	5.8	110000000
Alleluia! The Devil's Carnival 	2016	97		7.4	500000
Almost Famous 	2000	152	32522352	7.9	60000000
Aloft 	2014	97	52961	5.3	8000000
Aloha 	2015	105	20991497	5.4	37000000
Aloha 	2015	105	20991497	5.4	37000000
Alone in the Dark 	2005	94	5132655	2.3	20000000
Alone with Her 	2006	78	10018	6.1	1000000
Along Came a Spider 	2001	104	74058698	6.3	60000000
Along Came Polly 	2004	90	87856565	5.9	42000000
Along the Roadside 	2013	108		7.1	250000
Alpha and Omega 	2010	90	25077977	5.3	20000000
Alpha and Omega 4: The Legend of the Saw Toothed Cave 	2014	45		6	7000000
Alvin and the Chipmunks 	2007	92	217326336	5.2	60000000
Alvin and the Chipmunks: Chipwrecked 	2011	87	133103929	4.4	75000000
Alvin and the Chipmunks: The Road Chip 	2015	92	85884815	5	90000000
Alvin and the Chipmunks: The Squeakquel 	2009	88	219613391	4.5	75000000
Always Woodstock 	2014	97		5.3	2400000
Am lie 	2001	122	33201661	8.4	77000000
Amadeus 	1984	180	51600000	8.3	18000000
Amen. 	2002	132	274299	7.3	103000000
America Is Still the Place 	2015	90		7.5	
American Beauty 	1999	122	130058047	8.4	15000000
American Desi 	2001	100	902835	6.7	250000
American Dreamz 	2006	107	7156725	5.5	19000000
American Gangster 	2007	176	130127620	7.8	100000000
American Graffiti 	1973	112	115000000	7.5	777000
American Heist 	2014	94		5.2	10000000
American Hero 	2015	86		4.9	990000
American History X 	1998	101	6712241	8.6	7500000
American Hustle 	2013	138	150117807	7.3	40000000
American Ninja 2: The Confrontation 	1987	90	4000000	4.7	350000
American Outlaws 	2001	94	13264986	6	35000000
American Pie 	1999	95	101736215	7	11000000
American Pie 2 	2001	108	145096820	6.4	30000000
American Psycho 	2000	102	15047419	7.6	7000000
American Reunion 	2012	113	56724080	6.7	50000000
American Sniper 	2014	133	350123553	7.3	58800000
American Splendor 	2003	101	6003587	7.5	
American Wedding 	2003	74	104354205	6.3	55000000
America's Sweethearts 	2001	102	93607673	5.7	48000000
Amidst the Devil's Wings 	2014	90		4.3	300000
Amigo 	2010	124	183490	5.8	1700000
Amistad 	1997	155	44175394	7.2	36000000
Amnesiac 	2014	90		4.3	3000000
Among Giants 	1998	93	64359	5.9	2500000
Amores Perros 	2000	115	5383834	8.1	2000000
Amour 	2012	127	225377	7.9	8900000
An Alan Smithee Film: Burn Hollywood Burn 	1997	86	15447	3.5	10000000
An American Carol 	2008	83	7001720	4.3	12000000
An American Girl Holiday 	2004	86		7.2	200000
An American Haunting 	2005	91	16298046	5	14000000
An American in Hollywood 	2014	89		7.2	125000
An Education 	2009	100	12574715	7.3	4500000
An Everlasting Piece 	2000	103	75078	6.3	14000000
An Ideal Husband 	1999	97	18535191	6.9	14000000
An Inconvenient Truth 	2006	96	23808111	7.5	
An Unfinished Life 	2005	108	8535575	7	30000000
Anaconda 	1997	89	65557989	4.6	45000000
Anacondas: The Hunt for the Blood Orchid 	2004	97	31526393	4.6	25000000
Analyze That 	2002	96	32122249	5.9	60000000
Analyze This 	1999	103	106694016	6.7	30000000
Anastasia 	1997	94	58297830	7.1	50000000
Anatomy 	2000	103	5725	6.1	8400000
Anchorman 2: The Legend Continues 	2013	143	2175312	6.3	50000000
Anchorman: The Legend of Ron Burgundy 	2004	98	84136909	7.2	26000000
And So It Goes 	2014	94	15155772	5.7	18000000
And Then Came Love 	2007	90		4.8	989000
Anderson's Cross 	2010	98		7.2	300000
Angel Eyes 	2001	102	24044532	5.6	38000000
Angela's Ashes 	1999	145	13038660	7.3	25000000
Angels & Demons 	2009	146	133375846	6.7	150000000
Anger Management             		22		6.7	
Animal House 	1978	109	141600000	7.6	3000000
Animal Kingdom             		60		8.1	
Animal Kingdom: Let's go Ape 	2015	101		4.9	
Animals 	2014	90		6.2	
Animals United 	2010	93		4.9	
Anna and the King 	1999	148	39251128	6.7	75000000
Anna Karenina 	2012	129	12802907	6.6	
Annabelle 	2014	99	84263837	5.4	6500000
Anne of Green Gables             		199		8.4	
Annie 	2014	118	85911262	5.2	65000000
Annie Get Your Gun 	1950	107	8000000	7	3768785
Annie Hall 	1977	93	39200000	8.1	4000000
Anomalisa 	2015	90	3442820	7.3	8000000
Anonymous 	2011	130	4463292	6.9	30000000
Another Earth 	2011	92	1316074	7	100000
Another Happy Day 	2011	119		6	4000000
Another Year 	2010	129	3205244	7.3	10000000
Antarctic Edge: 70  South 	2015	72	4914	7	150000
Antarctica: A Year on Ice 	2013	91	287761	7.6	1000000
Antibirth 	2016	94		6.3	3500000
Antitrust 	2001	109	10965209	6.1	30000000
Antiviral 	2012	108		5.7	3200000
Ant-Man 	2015	117	180191634	7.4	130000000
Antwone Fisher 	2002	117	21078145	7.3	12500000
Antz 	1998	83	90646554	6.6	105000000
Any Given Sunday 	1999	156	75530832	6.8	55000000
Anything Else 	2003	108	3203044	6.4	18000000
Anywhere But Here 	1999	114	18653615	6.1	23000000
Apocalypse Now 	1979	289	78800000	8.5	31500000
Apocalypto 	2006	139	50859889	7.8	40000000
Apollo 13 	1995	140	172071312	7.6	62000000
Apollo 18 	2011	86	17683670	5.2	5000000
Appaloosa 	2008	115	20207003	6.8	
April Fool's Day 	1986	89	12947763	6.2	5000000
Aqua Teen Hunger Force Colon Movie Film for Theaters 	2007	86	5518918	6.9	750000
Aquamarine 	2006	104	18595716	5.3	12000000
Arachnophobia 	1990	103	53133888	6.3	31000000
Ararat 	2002	115	1554566	6.6	
Arbitrage 	2012	107	7918283	6.6	12000000
Archaeology of a Woman 	2012	94		8.1	200000
Are We There Yet  	2005	95	82301521	4.6	32000000
Area 51 	2015	91		4.2	5000000
Argo 	2012	130	136019448	7.7	44500000
Arlington Road 	1999	117	24362501	7.2	21500000
Armageddon 	1998	153	201573391	6.6	140000000
Armored 	2009	88	15988876	5.7	27000000
Army of Darkness 	1992	88	11501093	7.6	13000000
Arn: The Knight Templar 	2007	270		6.6	25000000
Arnolds Park 	2007	103	23616	5.6	600000
Around the World in 80 Days 	2004	120	24004159	5.8	110000000
Around the World in 80 Days 	2004	120	24004159	5.8	110000000
Aroused 	2013	66		5.3	150000
Arthur             		30		7.4	
Arthur and the Invisibles 	2006	94	15131330	6	86000000
Arthur Christmas 	2011	97	46440491	7.1	100000000
"As Above, So Below "	2014	93	21197315	6.1	5000000
As Good as It Gets 	1997	139	147637474	7.7	50000000
As It Is in Heaven 	2004	133	9910	7.6	25000000
Ask Me Anything 	2014	100		6	950000
Assassins 	1995	132	30306268	6.3	50000000
Assault on Precinct 13 	2005	109	19976073	6.3	20000000
Asterix at the Olympic Games 	2008	116		5.1	78000000
Astro Boy 	2009	94	19548064	6.3	65000000
At First Sight 	1999	128	22326247	5.9	60000000
ATL 	2006	105	21160089	6	
Atlantis: The Lost Empire 	2001	95	84037039	6.8	120000000
Atlas Shrugged II: The Strike 	2012	111	3333823	5.5	10000000
Atlas Shrugged: Who Is John Galt  	2014	99	830210	4.4	5000000
Atonement 	2007	123	50921738	7.8	30000000
Attack the Block 	2011	88	1024175	6.6	13000000
August 	2011	99		6.1	
August Rush 	2007	114	31655091	7.5	30000000
August: Osage County 	2013	121	37738400	7.3	25000000
Austin Powers in Goldmember 	2002	94	213079163	6.2	63000000
Austin Powers: International Man of Mystery 	1997	68	53868030	7	17000000
Austin Powers: The Spy Who Shagged Me 	1999	95	205399422	6.6	33000000
Australia 	2008	165	49551662	6.6	130000000
Auto Focus 	2002	105	2062066	6.6	7000000
Automata 	2014	109		6.1	7000000
Autumn in New York 	2000	103	37752931	5.5	40000000
Avatar 	2009	178	760505847	7.9	237000000
Avengers: Age of Ultron 	2015	141	458991599	7.5	250000000
AVP: Alien vs. Predator 	2004	109	80281096	5.6	60000000
Awake 	2007	84	14373825	6.5	8600000
Away We Go 	2009	98	9430988	7.1	17000000
AWOL-72 	2015	82		3.9	3000000
Ayurveda: Art of Being 	2001	102	16892	7.6	300000
Baahubali: The Beginning 	2015	159	6498000	8.4	18026148
Babe 	1995	91	66600000	6.8	30000000
Babe: Pig in the City 	1998	97	18318000	5.8	80000000
Babel 	2006	143	34300771	7.5	25000000
Baby Boy 	2001	130	28734552	6.4	16000000
Baby Geniuses 	1999	97	27141959	2.5	18000000
Baby Mama 	2008	99	60269340	6	30000000
Babylon A.D. 	2008	101	22531698	5.6	70000000
Baby's Day Out 	1994	99	16671505	5.9	50000000
Bachelorette 	2012	87	418268	5.3	3000000
Back to the Future 	1985	116	210609762	8.5	19000000
Back to the Future Part II 	1989	108	118500000	7.8	40000000
Back to the Future Part III 	1990	118	87666629	7.4	40000000
Bad Boys 	1995	119	65807024	6.8	19000000
Bad Boys II 	2003	147	138396624	6.6	130000000
Bad Company 	2002	116	30157016	5.6	70000000
Bad Grandpa 	2013	102	101978840	6.6	15000000
Bad Lieutenant: Port of Call New Orleans 	2009	122	1697956	6.7	20000000
Bad Moms 	2016	100	55461307	6.7	20000000
Bad Moms 	2016	100	55461307	6.7	20000000
Bad Santa 	2003	98	60057639	7.1	18000000
Bad Teacher 	2011	97	100292856	5.7	20000000
Bad Words 	2013	89	7764027	6.7	10000000
Baggage Claim 	2013	96	21564616	5	8500000
Baghead 	2008	84	140016	6	
Bait 	2012	93		5.2	30000000
Ballistic: Ecks vs. Sever 	2002	91	14294842	3.6	70000000
Bambi 	1942	70	102797150	7.4	
Bamboozled 	2000	135	2185266	6.5	10000000
Bananas 	1971	82		7.1	2000000
Bandidas 	2006	93		5.7	32000000
Bandits 	2001	123	41523271	6.6	80000000
Bandslam 	2009	111	5205343	6.4	20000000
Bang 	1995	98		6.4	
Bang Bang Baby 	2014	90		5.4	1000000
Bangkok Dangerous 	2008	99	15279680	5.4	40000000
Banshee Chapter 	2013	87		5.5	950000
Barbarella 	1968	98		5.9	9000000
Barbecue 	2014	98		6.1	
Barbershop 	2002	102	75074950	6.3	12000000
Barbershop 2: Back in Business 	2004	106	64955956	5.7	18000000
Barfi 	2013			7.1	
Barney's Great Adventure 	1998	76	11144518	2.8	15000000
Barney's Version 	2010	134	7501404	7.3	
Barnyard 	2006	90	72601713	5.6	51000000
Barry Lyndon 	1975	184		8.1	11000000
Barry Munday 	2010	95		5.9	
Basic 	2003	98	26536120	6.5	50000000
Basic Instinct 2 	2006	116	5851188	4.2	70000000
Basquiat 	1996	108	2961991	6.9	3300000
Bathing Beauty 	1944	101		6.5	2361000
Bathory: Countess of Blood 	2008	141		6	
Batman 	1989	126	251188924	7.6	35000000
Batman & Robin 	1997	125	107285004	3.7	125000000
Batman Begins 	2005	128	205343774	8.3	150000000
Batman Forever 	1995	121	184031112	5.4	100000000
Batman Returns 	1992	126	162831698	7	80000000
Batman v Superman: Dawn of Justice 	2016	183	330249062	6.9	250000000
"Batman: The Dark Knight Returns, Part 2 "	2013	148		8.4	3500000
Batman: The Movie 	1966	105		6.5	1377800
Bats 	1999	91	10149779	3.6	6500000
Battle for the Planet of the Apes 	1973	96		5.5	1800000
Battle Los Angeles 	2011	116	83552429	5.8	70000000
Battle of the Year 	2013	110	8888355	5	20000000
Battlefield Earth 	2000	119	21471685	2.4	44000000
Battleship 	2012	131	65173160	5.9	209000000
Be Cool 	2005	118	55808744	5.7	53000000
Be Kind Rewind 	2008	102	11169531	6.4	20000000
Beastly 	2011	86	27854896	5.6	17000000
Beastmaster 2: Through the Portal of Time 	1991	107	869325	3.8	6000000
Beasts of the Southern Wild 	2012	93	12784397	7.3	1800000
Beautiful Creatures 	2013	124	19445217	6.2	60000000
Beauty Shop 	2005	105	36310118	5.5	
Beavis and Butt-Head Do America 	1996	81	63071133	6.8	12000000
Because I Said So 	2007	102	42640890	5.6	
Because of Winn-Dixie 	2005	106	32645546	6.4	14000000
Becoming Jane 	2007	120	18663911	7.1	16500000
Bedazzled 	2000	93	37879996	6	48000000
Bedtime Stories 	2008	99	109993847	6.1	80000000
Bee Movie 	2007	91	126597121	6.2	150000000
Beer League 	2006	86	475000	6	2800000
Beerfest 	2006	110	19179969	6.3	17500000
Beetlejuice 	1988	92	73326666	7.5	15000000
Before I Go to Sleep 	2014	92	2963012	6.3	22000000
Before Midnight 	2013	109	8114507	7.9	3000000
Before Sunrise 	1995	105	5400000	8.1	2500000
Before Sunset 	2004	80	5792822	8	2700000
Begin Again 	2013	104	16168741	7.4	8000000
Beginners 	2010	105	5776314	7.2	3200000
Behind Enemy Lines 	2001	106	59068786	6.4	40000000
Being John Malkovich 	1999	112	22858926	7.8	13000000
Being Julia 	2004	104	7739049	7.1	18000000
Bella 	2006	91	8108247	7.4	3300000
Beloved 	1998	172	22843047	5.9	55000000
Below Zero 	2011	99		4.5	1200000
Bend It Like Beckham 	2002	112	32541719	6.7	3500159
Bending Steel 	2013	92		7.9	50000
Beneath Hill 60 	2010	122		7.1	9000000
Beneath the Planet of the Apes 	1970	95		6.1	3000000
Ben-Hur 	2016	141		6	100000000
Ben-Hur 	2016	141		6.1	100000000
Ben-Hur 	2016	141		6.1	
Benji 	1974	86	39552600	6.1	500000
Beowulf 	2007	115	82161969	6.3	150000000
Bernie 	2011	99	9203192	6.8	5000000
Best in Show 	2000	90	18621249	7.5	6000000
Better Luck Tomorrow 	2002	98	3799339	7.2	250000
Beverly Hills Chihuahua 	2008	91	94497271	3.7	20000000
Beverly Hills Cop 	1984	105	234760500	7.3	14000000
Beverly Hills Cop II 	1987	100	153665036	6.4	28000000
Beverly Hills Cop III 	1994	104	42610000	5.5	55000000
Bewitched             		25		7.6	
Beyond Borders 	2003	127	4426297	6.5	35000000
Beyond the Black Rainbow 	2010	110	56129	6.1	1100000
Beyond the Lights 	2014	116	14612840	6.9	7000000
Beyond the Mat 	1999	108	2047570	7.6	500000
Beyond the Sea 	2004	118	6144806	6.7	23000000
Beyond the Valley of the Dolls 	1970	109	9000000	6.2	900000
B-Girl 	2009	88		4	
Bicentennial Man 	1999	132	58220776	6.8	100000000
Big 	1988	130	114968774	7.3	18000000
Big Daddy 	1999	93	163479795	6.4	34200000
Big Eyes 	2014	106	14479776	7	10000000
Big Fat Liar 	2002	88	47811275	5.4	15000000
Big Fat Liar 	2002	88	47811275	5.4	15000000
Big Fish 	2003	125	66257002	8	70000000
Big Hero 6 	2014	102	222487711	7.9	165000000
Big Miracle 	2012	107	20113965	6.5	40000000
Big Momma's House 	2000	99	117559438	5.1	30000000
Big Momma's House 2 	2006	99	70163652	4.6	40000000
"Big Mommas: Like Father, Like Son "	2011	113	37911876	4.4	32000000
Big Trouble 	2002	74	7262288	6.5	40000000
Big Trouble in Little China 	1986	99	11100000	7.3	25000000
Bill & Ted's Bogus Journey 	1991	93	38037513	6.2	20000000
Bill & Ted's Excellent Adventure 	1989	90	40485039	6.9	10000000
Billy Elliot 	2000	110	21994911	7.7	5000000
Birdman or (The Unexpected Virtue of Ignorance) 	2014	119	42335698	7.8	18000000
Birth 	2004	100	5005883	6.1	20000000
Birthday Girl 	2001	93	4919896	6.1	13000000
Biutiful 	2010	148	5100937	7.5	
Bizarre 	2015	98		4.3	500000
