movie,Cast,Role
Animals United ,Reinhard Klooss,Director
Anna and the King ,Andy Tennant,Director
Anna Karenina ,Joe Wright,Director
Annabelle ,John R. Leonetti,Director
Annie ,Will Gluck,Director
Annie Get Your Gun ,George Sidney,Director
Annie Hall ,Woody Allen,Director
Anomalisa ,Duke Johnson,Director
Anonymous ,Roland Emmerich,Director
Another Earth ,Mike Cahill,Director
Another Happy Day ,Sam Levinson,Director
Another Year ,Mike Leigh,Director
Antarctic Edge: 70  South ,Dena Seidel,Director
Antarctica: A Year on Ice ,Anthony Powell,Director
Antibirth ,Danny Perez,Director
Antitrust ,Peter Howitt,Director
Antiviral ,Brandon Cronenberg,Director
Ant-Man ,Peyton Reed,Director
Antwone Fisher ,Denzel Washington,Director
Antz ,Eric Darnell,Director
Any Given Sunday ,Oliver Stone,Director
Anything Else ,Woody Allen,Director
Anywhere But Here ,Wayne Wang,Director
Apocalypse Now ,Francis Ford Coppola,Director
Apocalypto ,Mel Gibson,Director
Apollo 13 ,Ron Howard,Director
Apollo 18 ,Gonzalo L?pez-Gallego,Director
Appaloosa ,Ed Harris,Director
April Fool's Day ,Fred Walton,Director
Aqua Teen Hunger Force Colon Movie Film for Theaters ,Matt Maiellaro,Director
Aquamarine ,Elizabeth Allen Rosenbaum,Director
Arachnophobia ,Frank Marshall,Director
Ararat ,Atom Egoyan,Director
Arbitrage ,Nicholas Jarecki,Director
Archaeology of a Woman ,Sharon Greytak,Director
Are We There Yet  ,Brian Levant,Director
Area 51 ,Oren Peli,Director
Argo ,Ben Affleck,Director
Arlington Road ,Mark Pellington,Director
Armageddon ,Michael Bay,Director
Armored ,Nimr?d Antal,Director
Army of Darkness ,Sam Raimi,Director
Arn: The Knight Templar ,Peter Flinth,Director
Arnolds Park ,Gene Teigland,Director
Around the World in 80 Days ,Frank Coraci,Director
Around the World in 80 Days ,Frank Coraci,Director
Aroused ,Deborah Anderson,Director
Arthur and the Invisibles ,Luc Besson,Director
Arthur Christmas ,Sarah Smith,Director
"As Above, So Below ",John Erick Dowdle,Director
As Good as It Gets ,James L. Brooks,Director
As It Is in Heaven ,Kay Pollak,Director
Ask Me Anything ,Allison Burnett,Director
Assassins ,Richard Donner,Director
Assault on Precinct 13 ,Jean-Fran?ois Richet,Director
Asterix at the Olympic Games ,Fr?d?ric Forestier,Director
Astro Boy ,David Bowers,Director
At First Sight ,Irwin Winkler,Director
ATL ,Chris Robinson,Director
Atlantis: The Lost Empire ,Gary Trousdale,Director
Atlas Shrugged II: The Strike ,John Putch,Director
Atlas Shrugged: Who Is John Galt  ,James Manera,Director
Atonement ,Joe Wright,Director
Attack the Block ,Joe Cornish,Director
August ,Eldar Rapaport,Director
August Rush ,Kirsten Sheridan,Director
August: Osage County ,John Wells,Director
Austin Powers in Goldmember ,Jay Roach,Director
Austin Powers: International Man of Mystery ,Jay Roach,Director
Austin Powers: The Spy Who Shagged Me ,Jay Roach,Director
Australia ,Baz Luhrmann,Director
Auto Focus ,Paul Schrader,Director
Automata ,Gabe Ib??ez,Director
Autumn in New York ,Joan Chen,Director
Avatar ,James Cameron,Director
Avengers: Age of Ultron ,Joss Whedon,Director
AVP: Alien vs. Predator ,Paul W.S. Anderson,Director
Awake ,Joby Harold,Director
Away We Go ,Sam Mendes,Director
AWOL-72 ,Christian Sesma,Director
Ayurveda: Art of Being ,Pan Nalin,Director
Baahubali: The Beginning ,S.S. Rajamouli,Director
Babe ,Chris Noonan,Director
Babe: Pig in the City ,George Miller,Director
Babel ,Alejandro G. I??rritu,Director
Baby Boy ,John Singleton,Director
Baby Geniuses ,Bob Clark,Director
Baby Mama ,Michael McCullers,Director
Babylon A.D. ,Mathieu Kassovitz,Director
Baby's Day Out ,Patrick Read Johnson,Director
Bachelorette ,Leslye Headland,Director
Back to the Future ,Robert Zemeckis,Director
Back to the Future Part II ,Robert Zemeckis,Director
Back to the Future Part III ,Robert Zemeckis,Director
Bad Boys ,Michael Bay,Director
Bad Boys II ,Michael Bay,Director
Bad Company ,Joel Schumacher,Director
Bad Grandpa ,Jeff Tremaine,Director
Bad Lieutenant: Port of Call New Orleans ,Werner Herzog,Director
Bad Moms ,Jon Lucas,Director
Bad Moms ,Jon Lucas,Director
Bad Santa ,Terry Zwigoff,Director
Bad Teacher ,Jake Kasdan,Director
Bad Words ,Jason Bateman,Director
Baggage Claim ,David E. Talbert,Director
Baghead ,Jay Duplass,Director
Bait ,Kimble Rendall,Director
Ballistic: Ecks vs. Sever ,Wych Kaosayananda,Director
Bambi ,James Algar,Director
Bamboozled ,Spike Lee,Director
Bananas ,Woody Allen,Director
Bandidas ,Joachim R?nning,Director
Bandits ,Barry Levinson,Director
Bandslam ,Todd Graff,Director
Bang ,Ash Baron-Cohen,Director
Bang Bang Baby ,Jeffrey St. Jules,Director
Bangkok Dangerous ,Danny Pang,Director
Banshee Chapter ,Blair Erickson,Director
Barbarella ,Roger Vadim,Director
Barbecue ,Eric Lavaine,Director
Barbershop ,Tim Story,Director
Barbershop 2: Back in Business ,Kevin Rodney Sullivan,Director
Barfi ,Shekar,Director
Barney's Great Adventure ,Steve Gomer,Director
Barney's Version ,Richard J. Lewis,Director
Barnyard ,Steve Oedekerk,Director
Barry Lyndon ,Stanley Kubrick,Director
Barry Munday ,Chris D'Arienzo,Director
Basic ,John McTiernan,Director
Basic Instinct 2 ,Michael Caton-Jones,Director
Basquiat ,Julian Schnabel,Director
Bathing Beauty ,George Sidney,Director
Bathory: Countess of Blood ,Juraj Jakubisko,Director
Batman ,Tim Burton,Director
Batman & Robin ,Joel Schumacher,Director
Batman Begins ,Christopher Nolan,Director
Batman Forever ,Joel Schumacher,Director
Batman Returns ,Tim Burton,Director
Batman v Superman: Dawn of Justice ,Zack Snyder,Director
"Batman: The Dark Knight Returns, Part 2 ",Jay Oliva,Director
Batman: The Movie ,Leslie H. Martinson,Director
Bats ,Louis Morneau,Director
Battle for the Planet of the Apes ,J. Lee Thompson,Director
Battle Los Angeles ,Jonathan Liebesman,Director
Battle of the Year ,Benson Lee,Director
Battlefield Earth ,Roger Christian,Director
Battleship ,Peter Berg,Director
Be Cool ,F. Gary Gray,Director
Be Kind Rewind ,Michel Gondry,Director
Beastly ,Daniel Barnz,Director
Beastmaster 2: Through the Portal of Time ,Sylvio Tabet,Director
Beasts of the Southern Wild ,Benh Zeitlin,Director
Beautiful Creatures ,Richard LaGravenese,Director
Beauty Shop ,Bille Woodruff,Director
Beavis and Butt-Head Do America ,Mike Judge,Director
Because I Said So ,Michael Lehmann,Director
Because of Winn-Dixie ,Wayne Wang,Director
Becoming Jane ,Julian Jarrold,Director
Bedazzled ,Harold Ramis,Director
Bedtime Stories ,Adam Shankman,Director
Bee Movie ,Steve Hickner,Director
Beer League ,Frank Sebastiano,Director
Beerfest ,Jay Chandrasekhar,Director
Beetlejuice ,Tim Burton,Director
Before I Go to Sleep ,Rowan Joffe,Director
Before Midnight ,Richard Linklater,Director
Before Sunrise ,Richard Linklater,Director
Before Sunset ,Richard Linklater,Director
Begin Again ,John Carney,Director
Beginners ,Mike Mills,Director
Behind Enemy Lines ,John Moore,Director
Being John Malkovich ,Spike Jonze,Director
Being Julia ,Istv?n Szab?,Director
Bella ,Alejandro Monteverde,Director
Beloved ,Jonathan Demme,Director
Below Zero ,Justin Thomas Ostensen,Director
Bend It Like Beckham ,Gurinder Chadha,Director
Bending Steel ,Dave Carroll,Director
Beneath Hill 60 ,Jeremy Sims,Director
Beneath the Planet of the Apes ,Ted Post,Director
Ben-Hur ,Timur Bekmambetov,Director
Ben-Hur ,Timur Bekmambetov,Director
Ben-Hur ,Timur Bekmambetov,Director
Benji ,Joe Camp,Director
Beowulf ,Robert Zemeckis,Director
Bernie ,Richard Linklater,Director
Best in Show ,Christopher Guest,Director
Better Luck Tomorrow ,Justin Lin,Director
Beverly Hills Chihuahua ,Raja Gosnell,Director
Beverly Hills Cop ,Martin Brest,Director
Beverly Hills Cop II ,Tony Scott,Director
Beverly Hills Cop III ,John Landis,Director
Beyond Borders ,Martin Campbell,Director
Beyond the Black Rainbow ,Panos Cosmatos,Director
Beyond the Lights ,Gina Prince-Bythewood,Director
Beyond the Mat ,Barry W. Blaustein,Director
Beyond the Sea ,Kevin Spacey,Director
Beyond the Valley of the Dolls ,Russ Meyer,Director
B-Girl ,Emily Dell,Director
Bicentennial Man ,Chris Columbus,Director
Big ,Penny Marshall,Director
Big Daddy ,Dennis Dugan,Director
Big Eyes ,Tim Burton,Director
Big Fat Liar ,Shawn Levy,Director
Big Fat Liar ,Shawn Levy,Director
Big Fish ,Tim Burton,Director
Big Hero 6 ,Don Hall,Director
Big Miracle ,Ken Kwapis,Director
Big Momma's House ,Raja Gosnell,Director
Big Momma's House 2 ,John Whitesell,Director
"Big Mommas: Like Father, Like Son ",John Whitesell,Director
Big Trouble ,Barry Sonnenfeld,Director
Big Trouble in Little China ,John Carpenter,Director
Bill & Ted's Bogus Journey ,Peter Hewitt,Director
Bill & Ted's Excellent Adventure ,Stephen Herek,Director
Billy Elliot ,Stephen Daldry,Director
Birdman or (The Unexpected Virtue of Ignorance) ,Alejandro G. I??rritu,Director
Birth ,Jonathan Glazer,Director
Birthday Girl ,Jez Butterworth,Director
Biutiful ,Alejandro G. I??rritu,Director
Bizarre ,?tienne Faure,Director
Black Book ,Paul Verhoeven,Director
Black Christmas ,Glen Morgan,Director
Black Hawk Down ,Ridley Scott,Director
Black Knight ,Gil Junger,Director
Black Mass ,Scott Cooper,Director
Black Nativity ,Kasi Lemmons,Director
Black November ,Jeta Amata,Director
Black or White ,Mike Binder,Director
Black Rain ,Ridley Scott,Director
Black Rock ,Katie Aselton,Director
Black Snake Moan ,Craig Brewer,Director
Black Swan ,Darren Aronofsky,Director
Black Water Transit ,Tony Kaye,Director
Blackhat ,Michael Mann,Director
Blackthorn ,Mateo Gil,Director
Blade ,Stephen Norrington,Director
Blade II ,Guillermo del Toro,Director
Blade Runner ,Ridley Scott,Director
Blade: Trinity ,David S. Goyer,Director
Blades of Glory ,Josh Gordon,Director
Blast from the Past ,Hugh Wilson,Director
Blazing Saddles ,Mel Brooks,Director
Bled ,Christopher Hutson,Director
Bleeding Hearts ,Dylan Bank,Director
Blended ,Frank Coraci,Director
Bless the Child ,Chuck Russell,Director
Blindness ,Fernando Meirelles,Director
Blonde Ambition ,Scott Marshall,Director
Blood and Chocolate ,Katja von Garnier,Director
Blood and Wine ,Bob Rafelson,Director
Blood Diamond ,Edward Zwick,Director
Blood Done Sign My Name ,Jeb Stuart,Director
"Blood In, Blood Out ",Taylor Hackford,Director
Blood Ties ,Guillaume Canet,Director
Blood Work ,Clint Eastwood,Director
BloodRayne ,Uwe Boll,Director
Bloodsport ,Newt Arnold,Director
Bloody Sunday ,Paul Greengrass,Director
Blow ,Ted Demme,Director
Blow Out ,Brian De Palma,Director
Blue Car ,Karen Moncrieff,Director
Blue Crush ,John Stockwell,Director
Blue Jasmine ,Woody Allen,Director
Blue Like Jazz ,Steve Taylor,Director
Blue Ruin ,Jeremy Saulnier,Director
Blue Streak ,Les Mayfield,Director
Blue Valentine ,Derek Cianfrance,Director
Boat Trip ,Mort Nathan,Director
Bobby ,Emilio Estevez,Director
Bobby Jones: Stroke of Genius ,Rowdy Herrington,Director
Body Double ,Brian De Palma,Director
Body of Lies ,Ridley Scott,Director
Bodyguards and Assassins ,Teddy Chan,Director
Bogus ,Norman Jewison,Director
Boiler Room ,Ben Younger,Director
Bolt ,Byron Howard,Director
Bon Cop Bad Cop ,Erik Canuel,Director
Bon voyage ,Jean-Paul Rappeneau,Director
Boogeyman ,Stephen Kay,Director
Boogie Nights ,Paul Thomas Anderson,Director
Book of Shadows: Blair Witch 2 ,Joe Berlinger,Director
Boom Town ,Jack Conway,Director
Boomerang ,Reginald Hudlin,Director
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Larry Charles,Director
Born of War ,Vicky Jewson,Director
Born on the Fourth of July ,Oliver Stone,Director
Born to Fly: Elizabeth Streb vs. Gravity ,Catherine Gund,Director
Bottle Rocket ,Wes Anderson,Director
Bottle Shock ,Randall Miller,Director
Bound ,Lana Wachowski,Director
Bowfinger ,Frank Oz,Director
Bowling for Columbine ,Michael Moore,Director
Boyhood ,Richard Linklater,Director
Boynton Beach Club ,Susan Seidelman,Director
Boys and Girls ,Robert Iscove,Director
Boys Don't Cry ,Kimberly Peirce,Director
Boyz n the Hood ,John Singleton,Director
Br no ,Larry Charles,Director
Bram Stoker's Dracula ,Francis Ford Coppola,Director
Bran Nue Dae ,Rachel Perkins,Director
Brave ,Mark Andrews,Director
Brave New Girl ,Bobby Roth,Director
Braveheart ,Mel Gibson,Director
Brazil ,Terry Gilliam,Director
Breakdown ,Jonathan Mostow,Director
Breakfast of Champions ,Alan Rudolph,Director
Breakin' All the Rules ,Daniel Taplitz,Director
Breaking Upwards ,Daryl Wein,Director
Brick Lane ,Sarah Gavron,Director
Brick Mansions ,Camille Delamarre,Director
Bride & Prejudice ,Gurinder Chadha,Director
Bride of Chucky ,Ronny Yu,Director
Bride Wars ,Gary Winick,Director
Bridesmaids ,Paul Feig,Director
Bridge of Spies ,Steven Spielberg,Director
Bridge to Terabithia ,Gabor Csupo,Director
Bridget Jones: The Edge of Reason ,Beeban Kidron,Director
Bridget Jones's Diary ,Sharon Maguire,Director
Brigham City ,Richard Dutcher,Director
"Bright Lights, Big City ",James Bridges,Director
Bright Star ,Jane Campion,Director
Brighton Rock ,Rowan Joffe,Director
Bring It On ,Peyton Reed,Director
Bringing Down the House ,Adam Shankman,Director
Bringing Out the Dead ,Martin Scorsese,Director
Brokeback Mountain ,Ang Lee,Director
Brokedown Palace ,Jonathan Kaplan,Director
Broken Arrow ,John Woo,Director
Broken City ,Allen Hughes,Director
Broken Horses ,Vidhu Vinod Chopra,Director
Broken Vessels ,Scott Ziehl,Director
Bronson ,Nicolas Winding Refn,Director
Brooklyn ,John Crowley,Director
