movie_title,duration,gross,imdb_score,budget,title_year
8 Heads in a Duffel Bag,95,3559990.00,5.3,3000000.00,1997
8 Mile,110,116724075.00,7,41000000.00,2002
8 Women,111,3076425.00,7.1,8000000.00,2002
8: The Mormon Proposition,80,99851.00,7.1,2500000.00,2010
88 Minutes,108,16930884.00,5.9,30000000.00,2007
8MM,123,36283504.00,6.5,40000000.00,1999
9 Weeks,112,6734844.00,5.9,17000000.00,1986
90 Minutes in Heaven,121,4700361.00,4.6,5000000.00,2015
A Beautiful Mind,135,170708996.00,8.2,58000000.00,2001
A Beginner's Guide to Snuff,87,,8.7,,2016
A Better Life,98,1754319.00,7.2,10000000.00,2011
A Bridge Too Far,175,50800000.00,7.4,26000000.00,1977
A Bug's Life,95,162792677.00,7.2,120000000.00,1998
A Charlie Brown Christmas,25,,8.4,150000.00,1965
A Christmas Carol,96,137850096.00,6.8,200000000.00,2009
A Christmas Story,94,,8.1,4000000.00,1983
A Cinderella Story,95,51431160.00,5.9,20000000.00,2004
A Civil Action,115,56702901.00,6.5,60000000.00,1998
A Dangerous Method,99,5702083.00,6.5,15000000.00,2011
A Dog of Flanders,100,2148212.00,6.3,7000000.00,1999
A Dog's Breakfast,88,,7,120000.00,2007
A Dog's Breakfast,88,,7,120000.00,2007
A Farewell to Arms,79,,6.6,800000.00,1932
A Few Good Men,138,141340178.00,7.6,40000000.00,1992
A Fine Step,111,,5.3,1000000.00,2014
A Fistful of Dollars,99,3500000.00,8,200000.00,1964
A Funny Thing Happened on the Way to the Forum,99,,7,2000000.00,1966
A Good Day to Die Hard,101,67344392.00,5.3,92000000.00,2013
A Good Year,117,7458269.00,6.9,35000000.00,2006
A Guy Named Joe,122,,7,2627000.00,1943
A Guy Thing,101,15408822.00,5.6,20000000.00,2003
A Hard Day's Night,87,515005.00,7.7,560000.00,1964
A Haunted House 2,86,17314483.00,4.7,4000000.00,2014
A Haunted House,86,40041683.00,5.1,2500000.00,2013
A History of Violence,96,31493782.00,7.5,32000000.00,2005
A Home at the End of the World,97,1029017.00,6.8,6500000.00,2004
A Knight's Tale,144,56083966.00,6.9,65000000.00,2001
A League of Their Own,128,107458785.00,7.2,40000000.00,1992
A Lego Brickumentary,93,100240.00,6.8,1000000.00,2014
A Lonely Place to Die,99,,6.3,4000000.00,2011
A Lot Like Love,107,21835784.00,6.6,30000000.00,2005
A Low Down Dirty Shame,100,29392418.00,5.8,10000000.00,1994
A Madea Christmas,100,52528330.00,4.7,25000000.00,2013
A Man Apart,109,26183197.00,6.1,36000000.00,2003
A Man for All Seasons,120,,7.9,2000000.00,1966
A Mighty Heart,108,9172810.00,6.7,16000000.00,2007
A Mighty Wind,91,17508936.00,7.3,,2003
A Million Ways to Die in the West,136,42615685.00,6.1,40000000.00,2014
A Monster in Paris,90,,6.8,25000000.00,2011
A Most Violent Year,125,5749134.00,7,20000000.00,2014
A Most Wanted Man,122,17237244.00,6.8,15000000.00,2014
A Night at the Roxbury,82,30324946.00,6.2,17000000.00,1998
A Nightmare on Elm Street 2: Freddy's Revenge,87,30000000.00,5.4,2200000.00,1985
A Nightmare on Elm Street 3: Dream Warriors,88,44793200.00,6.6,4500000.00,1987
A Nightmare on Elm Street 4: The Dream Master,99,49369900.00,5.7,7000000.00,1988
A Nightmare on Elm Street 5: The Dream Child,89,22168359.00,5.1,8000000.00,1989
A Nightmare on Elm Street,101,26505000.00,7.5,1800000.00,1984
A Nightmare on Elm Street,101,26505000.00,7.5,1800000.00,1984
A Passage to India,164,26400000.00,7.4,16000000.00,1984
A Perfect Getaway,108,15483540.00,6.5,14000000.00,2009
A Perfect Plan,104,,6.3,17000000.00,2012
A Plague So Pleasant,76,,6.3,1400.00,2013
A Prairie Home Companion,105,20338609.00,6.8,10000000.00,2006
A Room for Romeo Brass,90,18434.00,7.7,,1999
A Room with a View,117,20966644.00,7.4,3000000.00,1985
A Scanner Darkly,100,5480996.00,7.1,8700000.00,2006
A Separation,123,7098492.00,8.4,500000.00,2011
A Serious Man,106,9190525.00,7,7000000.00,2009
A Shine of Rainbows,101,,7.2,6000000.00,2009
A Simple Plan,121,16311763.00,7.5,17000000.00,1998
A Simple Wish,89,8119205.00,5.4,28000000.00,1997
A Single Man,99,9166863.00,7.6,7000000.00,2009
A Sound of Thunder,102,1891821.00,4.2,52000000.00,2005
A Streetcar Named Desire,125,,8,1800000.00,1951
A Tale of Three Cities,130,,6.2,12000000.00,2015
A Thin Line Between Love and Hate,108,34746109.00,5.6,8000000.00,1996
A Thousand Words,91,18438149.00,5.9,40000000.00,2012
A Time to Kill,149,108706165.00,7.4,40000000.00,1996
A Touch of Frost,105,,7.8,,
A True Story,96,,5.5,45000.00,2013
A Turtle's Tale: Sammy's Adventures,88,,6.1,,2010
A Very Harold & Kumar 3D Christmas,90,35033759.00,6.3,19000000.00,2011
A Very Long Engagement,133,6167817.00,7.7,47000000.00,2004
A View to a Kill,131,50300000.00,6.3,30000000.00,1985
A Walk Among the Tombstones,114,25977365.00,6.5,28000000.00,2014
A Walk on the Moon,107,4741987.00,6.6,14000000.00,1999
A Walk to Remember,101,41227069.00,7.4,11000000.00,2002
A Warrior's Tail,85,,4.1,30000000.00,2015
"A Woman, a Gun and a Noodle Shop",95,190666.00,5.7,,2009
"A Woman, a Gun and a Noodle Shop",95,190666.00,5.7,,2009
A.I. Artificial Intelligence,146,78616689.00,7.1,100000000.00,2001
Abandon,99,10719367.00,4.9,25000000.00,2002
Abandoned,86,,6.3,,2015
ABCD (Any Body Can Dance),160,95236.00,6.4,,2013
Abduction,106,28064226.00,5,35000000.00,2011
Aberdeen,106,64148.00,7.3,6500000.00,2000
About a Boy,101,40566655.00,7.1,30000000.00,2002
About Last Night,100,48637684.00,6.1,12500000.00,2014
About Schmidt,125,65010106.00,7.2,30000000.00,2002
About Time,123,15294553.00,7.8,12000000.00,2013
Abraham Lincoln: Vampire Hunter,105,37516013.00,5.9,69000000.00,2012
Absentia,87,,5.8,70000.00,2011
Absolute Power,121,50007168.00,6.7,50000000.00,1997
Accidental Love,100,,4,26000000.00,2015
Ace Ventura: Pet Detective,78,72217000.00,6.9,12000000.00,1994
Ace Ventura: When Nature Calls,90,108360000.00,6.3,30000000.00,1995
Across the Universe,133,24343673.00,7.4,45000000.00,2007
Across the Universe,133,24343673.00,7.4,45000000.00,2007
Act of Valor,110,70011073.00,6.5,12000000.00,2012
Action Jackson,96,20257000.00,5.2,7000000.00,1988
Adam Resurrected,106,,6.3,10000000.00,2008
Adam,99,2277396.00,7.2,,2009
Adaptation.,81,22245861.00,7.7,19000000.00,2002
Addicted,106,17382982.00,5.2,5000000.00,2014
Admission,107,18004225.00,5.7,13000000.00,2013
Adore,112,317125.00,6.2,16000000.00,2013
Adulterers,91,,4.9,750000.00,2015
Adventureland,107,16025394.00,6.8,,2009
After Earth,100,60522097.00,4.9,130000000.00,2013
After the Sunset,97,28328132.00,6.3,58000000.00,2004
After.Life,104,108229.00,5.9,4500000.00,2009
After,90,,5.4,650000.00,2012
Against the Ropes,110,5881504.00,5.3,39000000.00,2004
Against the Wild,90,,4.7,2000000.00,2013
Agent Cody Banks 2: Destination London,100,23222861.00,4.5,26000000.00,2004
Agent Cody Banks,102,47285499.00,5,26000000.00,2003
Agora,141,617840.00,7.2,70000000.00,2009
Aimee & Jaguar,125,927107.00,7.3,15000000.00,1999
Air Bud,98,24629916.00,5.1,3000000.00,1997
Air Force One,124,172620724.00,6.4,85000000.00,1997
Airborne,91,2850263.00,6.2,2600000.00,1993
Airlift,130,,8.5,4400000.00,2016
Airplane!,88,83400000.00,7.8,3500000.00,1980
Ajami,124,621240.00,7.4,,2009
Akeelah and the Bee,112,18811135.00,7.5,,2006
Akira,124,439162.00,8.1,1100000000.00,1988
Aladdin,90,217350219.00,8,28000000.00,1992
Albert Nobbs,113,3014541.00,6.7,8000000.00,2011
Albino Alligator,97,326308.00,6.1,5000000.00,1996
Alex & Emma,96,14208384.00,5.6,30000000.00,2003
Alex Cross,101,25863915.00,5.1,35000000.00,2012
Alex Rider: Operation Stormbreaker,93,652526.00,5.1,40000000.00,2006
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",81,66950483.00,6.2,28000000.00,2014
Alexander,206,34293771.00,5.5,155000000.00,2004
Alexander's Ragtime Band,106,,7,2000000.00,1938
Alfie,103,13395939.00,6.2,60000000.00,2004
Ali,165,58183966.00,6.8,107000000.00,2001
Alias Betty,103,206400.00,6.9,50000000.00,2001
Alice in Wonderland,108,334185206.00,6.5,200000000.00,2010
Alice in Wonderland,108,334185206.00,6.5,200000000.00,2010
Alice Through the Looking Glass,113,76846624.00,6.4,170000000.00,2016
Alien 3,145,55473600.00,6.4,50000000.00,1992
Alien Uprising,101,,3.1,2500000.00,2012
Alien Zone,79,,4.1,350000.00,1978
Alien: Resurrection,116,47748610.00,6.3,75000000.00,1997
Alien,116,78900000.00,8.5,11000000.00,1979
Aliens in the Attic,86,25200412.00,5.4,45000000.00,2009
Aliens vs. Predator: Requiem,102,41797066.00,4.7,40000000.00,2007
Aliens,154,85200000.00,8.4,18500000.00,1986
Alive,120,36733909.00,7.1,32000000.00,1993
All About Steve,99,33860010.00,4.8,15000000.00,2009
All About the Benjamins,95,25482931.00,5.7,14000000.00,2002
All Good Things,101,578382.00,6.3,,2010
All Hat,89,,5.3,5000000.00,2007
All Is Bright,107,4556.00,5.6,,2013
All Is Lost,106,6262942.00,6.9,9000000.00,2013
All or Nothing,121,112935.00,7.6,9000000.00,2002
All Superheroes Must Die,78,,4,20000.00,2011
All That Jazz,123,,7.8,,1979
All the Boys Love Mandy Lane,90,,5.6,750000.00,2006
All the King's Men,128,7221458.00,6.2,55000000.00,2006
All the Pretty Horses,220,15527125.00,5.8,57000000.00,2000
All the Queen's Men,105,22723.00,4.5,25000000.00,2001
All the Real Girls,108,548712.00,6.9,2500000.00,2003
Allegiant,120,66002193.00,5.8,110000000.00,2016
Alleluia! The Devil's Carnival,97,,7.4,500000.00,2016
Almost Famous,152,32522352.00,7.9,60000000.00,2000
Aloft,97,52961.00,5.3,8000000.00,2014
Aloha,105,20991497.00,5.4,37000000.00,2015
Aloha,105,20991497.00,5.4,37000000.00,2015
Alone in the Dark,94,5132655.00,2.3,20000000.00,2005
Alone with Her,78,10018.00,6.1,1000000.00,2006
Along Came a Spider,104,74058698.00,6.3,60000000.00,2001
Along Came Polly,90,87856565.00,5.9,42000000.00,2004
Along the Roadside,108,,7.1,250000.00,2013
Alpha and Omega 4: The Legend of the Saw Toothed Cave,45,,6,7000000.00,2014
Alpha and Omega,90,25077977.00,5.3,20000000.00,2010
Alvin and the Chipmunks: Chipwrecked,87,133103929.00,4.4,75000000.00,2011
Alvin and the Chipmunks: The Road Chip,92,85884815.00,5,90000000.00,2015
Alvin and the Chipmunks: The Squeakquel,88,219613391.00,4.5,75000000.00,2009
Alvin and the Chipmunks,92,217326336.00,5.2,60000000.00,2007
Always Woodstock,97,,5.3,2400000.00,2014
Amlie,122,33201661.00,8.4,77000000.00,2001
Amadeus,180,51600000.00,8.3,18000000.00,1984
Amen.,132,274299.00,7.3,103000000.00,2002
America Is Still the Place,90,,7.5,,2015
American Beauty,122,130058047.00,8.4,15000000.00,1999
American Desi,100,902835.00,6.7,250000.00,2001
American Dreamz,107,7156725.00,5.5,19000000.00,2006
American Gangster,176,130127620.00,7.8,100000000.00,2007
American Graffiti,112,115000000.00,7.5,777000.00,1973
American Heist,94,,5.2,10000000.00,2014
American Hero,86,,4.9,990000.00,2015
American History X,101,6712241.00,8.6,7500000.00,1998
American Hustle,138,150117807.00,7.3,40000000.00,2013
American Ninja 2: The Confrontation,90,4000000.00,4.7,350000.00,1987
American Outlaws,94,13264986.00,6,35000000.00,2001
American Pie 2,108,145096820.00,6.4,30000000.00,2001
American Pie,95,101736215.00,7,11000000.00,1999
American Psycho,102,15047419.00,7.6,7000000.00,2000
American Reunion,113,56724080.00,6.7,50000000.00,2012
American Sniper,133,350123553.00,7.3,58800000.00,2014
American Splendor,101,6003587.00,7.5,,2003
American Wedding,74,104354205.00,6.3,55000000.00,2003
America's Sweethearts,102,93607673.00,5.7,48000000.00,2001
Amidst the Devil's Wings,90,,4.3,300000.00,2014
Amigo,124,183490.00,5.8,1700000.00,2010
Amistad,155,44175394.00,7.2,36000000.00,1997
Amnesiac,90,,4.3,3000000.00,2014
Among Giants,93,64359.00,5.9,2500000.00,1998
Amores Perros,115,5383834.00,8.1,2000000.00,2000
Amour,127,225377.00,7.9,8900000.00,2012
An Alan Smithee Film: Burn Hollywood Burn,86,15447.00,3.5,10000000.00,1997
An American Carol,83,7001720.00,4.3,12000000.00,2008
An American Girl Holiday,86,,7.2,200000.00,2004
An American Haunting,91,16298046.00,5,14000000.00,2005
An American in Hollywood,89,,7.2,125000.00,2014
An Education,100,12574715.00,7.3,4500000.00,2009
An Everlasting Piece,103,75078.00,6.3,14000000.00,2000
An Ideal Husband,97,18535191.00,6.9,14000000.00,1999
An Inconvenient Truth,96,23808111.00,7.5,,2006
An Unfinished Life,108,8535575.00,7,30000000.00,2005
Anaconda,89,65557989.00,4.6,45000000.00,1997
Anacondas: The Hunt for the Blood Orchid,97,31526393.00,4.6,25000000.00,2004
Analyze That,96,32122249.00,5.9,60000000.00,2002
Analyze This,103,106694016.00,6.7,30000000.00,1999
Anastasia,94,58297830.00,7.1,50000000.00,1997
Anatomy,103,5725.00,6.1,8400000.00,2000
Anchorman 2: The Legend Continues,143,2175312.00,6.3,50000000.00,2013
Anchorman: The Legend of Ron Burgundy,98,84136909.00,7.2,26000000.00,2004
And So It Goes,94,15155772.00,5.7,18000000.00,2014
And Then Came Love,90,,4.8,989000.00,2007
Anderson's Cross,98,,7.2,300000.00,2010
Angel Eyes,102,24044532.00,5.6,38000000.00,2001
Angela's Ashes,145,13038660.00,7.3,25000000.00,1999
Angels & Demons,146,133375846.00,6.7,150000000.00,2009
Anger Management,22,,6.7,,
Animal House,109,141600000.00,7.6,3000000.00,1978
Animal Kingdom: Let's go Ape,101,,4.9,,2015
Animal Kingdom,60,,8.1,,
Animals United,93,,4.9,,2010
Animals,90,,6.2,,2014
Anna and the King,148,39251128.00,6.7,75000000.00,1999
Anna Karenina,129,12802907.00,6.6,,2012
Annabelle,99,84263837.00,5.4,6500000.00,2014
Anne of Green Gables,199,,8.4,,
Annie Get Your Gun,107,8000000.00,7,3768785.00,1950
Annie Hall,93,39200000.00,8.1,4000000.00,1977
Annie,118,85911262.00,5.2,65000000.00,2014
Anomalisa,90,3442820.00,7.3,8000000.00,2015
Anonymous,130,4463292.00,6.9,30000000.00,2011
Another Earth,92,1316074.00,7,100000.00,2011
Another Happy Day,119,,6,4000000.00,2011
Another Year,129,3205244.00,7.3,10000000.00,2010
Antarctic Edge: 70 South,72,4914.00,7,150000.00,2015
Antarctica: A Year on Ice,91,287761.00,7.6,1000000.00,2013
Antibirth,94,,6.3,3500000.00,2016
Antitrust,109,10965209.00,6.1,30000000.00,2001
Antiviral,108,,5.7,3200000.00,2012
Ant-Man,117,180191634.00,7.4,130000000.00,2015
Antwone Fisher,117,21078145.00,7.3,12500000.00,2002
Antz,83,90646554.00,6.6,105000000.00,1998
Any Given Sunday,156,75530832.00,6.8,55000000.00,1999
Anything Else,108,3203044.00,6.4,18000000.00,2003
Anywhere But Here,114,18653615.00,6.1,23000000.00,1999
Apocalypse Now,289,78800000.00,8.5,31500000.00,1979
Apocalypto,139,50859889.00,7.8,40000000.00,2006
Apollo 13,140,172071312.00,7.6,62000000.00,1995
Apollo 18,86,17683670.00,5.2,5000000.00,2011
Appaloosa,115,20207003.00,6.8,,2008
April Fool's Day,89,12947763.00,6.2,5000000.00,1986
Aqua Teen Hunger Force Colon Movie Film for Theaters,86,5518918.00,6.9,750000.00,2007
Aquamarine,104,18595716.00,5.3,12000000.00,2006
Arachnophobia,103,53133888.00,6.3,31000000.00,1990
Ararat,115,1554566.00,6.6,,2002
Arbitrage,107,7918283.00,6.6,12000000.00,2012
Archaeology of a Woman,94,,8.1,200000.00,2012
Are We There Yet,95,82301521.00,4.6,32000000.00,2005
Area 51,91,,4.2,5000000.00,2015
Argo,130,136019448.00,7.7,44500000.00,2012
Arlington Road,117,24362501.00,7.2,21500000.00,1999
Armageddon,153,201573391.00,6.6,140000000.00,1998
Armored,88,15988876.00,5.7,27000000.00,2009
Army of Darkness,88,11501093.00,7.6,13000000.00,1992
Arn: The Knight Templar,270,,6.6,25000000.00,2007
Arnolds Park,103,23616.00,5.6,600000.00,2007
Around the World in 80 Days,120,24004159.00,5.8,110000000.00,2004
Around the World in 80 Days,120,24004159.00,5.8,110000000.00,2004
Aroused,66,,5.3,150000.00,2013
Arthur and the Invisibles,94,15131330.00,6,86000000.00,2006
Arthur Christmas,97,46440491.00,7.1,100000000.00,2011
Arthur,30,,7.4,,
"As Above, So Below",93,21197315.00,6.1,5000000.00,2014
As Good as It Gets,139,147637474.00,7.7,50000000.00,1997
As It Is in Heaven,133,9910.00,7.6,25000000.00,2004
Ask Me Anything,100,,6,950000.00,2014
Assassins,132,30306268.00,6.3,50000000.00,1995
Assault on Precinct 13,109,19976073.00,6.3,20000000.00,2005
Asterix at the Olympic Games,116,,5.1,78000000.00,2008
Astro Boy,94,19548064.00,6.3,65000000.00,2009
At First Sight,128,22326247.00,5.9,60000000.00,1999
ATL,105,21160089.00,6,,2006
Atlantis: The Lost Empire,95,84037039.00,6.8,120000000.00,2001
Atlas Shrugged II: The Strike,111,3333823.00,5.5,10000000.00,2012
Atlas Shrugged: Who Is John Galt,99,830210.00,4.4,5000000.00,2014
Atonement,123,50921738.00,7.8,30000000.00,2007
Attack the Block,88,1024175.00,6.6,13000000.00,2011
August Rush,114,31655091.00,7.5,30000000.00,2007
August: Osage County,121,37738400.00,7.3,25000000.00,2013
August,99,,6.1,,2011
Austin Powers in Goldmember,94,213079163.00,6.2,63000000.00,2002
Austin Powers: International Man of Mystery,68,53868030.00,7,17000000.00,1997
Austin Powers: The Spy Who Shagged Me,95,205399422.00,6.6,33000000.00,1999
Australia,165,49551662.00,6.6,130000000.00,2008
Auto Focus,105,2062066.00,6.6,7000000.00,2002
Automata,109,,6.1,7000000.00,2014
Autumn in New York,103,37752931.00,5.5,40000000.00,2000
Avatar,178,760505847.00,7.9,237000000.00,2009
Avengers: Age of Ultron,141,458991599.00,7.5,250000000.00,2015
AVP: Alien vs. Predator,109,80281096.00,5.6,60000000.00,2004
Awake,84,14373825.00,6.5,8600000.00,2007
Away We Go,98,9430988.00,7.1,17000000.00,2009
AWOL-72,82,,3.9,3000000.00,2015
Ayurveda: Art of Being,102,16892.00,7.6,300000.00,2001
Baahubali: The Beginning,159,6498000.00,8.4,18026148.00,2015
Babe: Pig in the City,97,18318000.00,5.8,80000000.00,1998
Babe,91,66600000.00,6.8,30000000.00,1995
Babel,143,34300771.00,7.5,25000000.00,2006
Baby Boy,130,28734552.00,6.4,16000000.00,2001
Baby Geniuses,97,27141959.00,2.5,18000000.00,1999
Baby Mama,99,60269340.00,6,30000000.00,2008
Babylon A.D.,101,22531698.00,5.6,70000000.00,2008
Baby's Day Out,99,16671505.00,5.9,50000000.00,1994
Bachelorette,87,418268.00,5.3,3000000.00,2012
Back to the Future Part II,108,118500000.00,7.8,40000000.00,1989
Back to the Future Part III,118,87666629.00,7.4,40000000.00,1990
Back to the Future,116,210609762.00,8.5,19000000.00,1985
Bad Boys II,147,138396624.00,6.6,130000000.00,2003
Bad Boys,119,65807024.00,6.8,19000000.00,1995
Bad Company,116,30157016.00,5.6,70000000.00,2002
Bad Grandpa,102,101978840.00,6.6,15000000.00,2013
Bad Lieutenant: Port of Call New Orleans,122,1697956.00,6.7,20000000.00,2009
Bad Moms,100,55461307.00,6.7,20000000.00,2016
Bad Moms,100,55461307.00,6.7,20000000.00,2016
Bad Santa,98,60057639.00,7.1,18000000.00,2003
Bad Teacher,97,100292856.00,5.7,20000000.00,2011
Bad Words,89,7764027.00,6.7,10000000.00,2013
Baggage Claim,96,21564616.00,5,8500000.00,2013
Baghead,84,140016.00,6,,2008
Bait,93,,5.2,30000000.00,2012
Ballistic: Ecks vs. Sever,91,14294842.00,3.6,70000000.00,2002
Bambi,70,102797150.00,7.4,,1942
Bamboozled,135,2185266.00,6.5,10000000.00,2000
Bananas,82,,7.1,2000000.00,1971
Bandidas,93,,5.7,32000000.00,2006
Bandits,123,41523271.00,6.6,80000000.00,2001
Bandslam,111,5205343.00,6.4,20000000.00,2009
Bang Bang Baby,90,,5.4,1000000.00,2014
Bang,98,,6.4,,1995
Bangkok Dangerous,99,15279680.00,5.4,40000000.00,2008
Banshee Chapter,87,,5.5,950000.00,2013
Barbarella,98,,5.9,9000000.00,1968
Barbecue,98,,6.1,,2014
Barbershop 2: Back in Business,106,64955956.00,5.7,18000000.00,2004
Barbershop,102,75074950.00,6.3,12000000.00,2002
Barfi,,,7.1,,2013
Barney's Great Adventure,76,11144518.00,2.8,15000000.00,1998
Barney's Version,134,7501404.00,7.3,,2010
Barnyard,90,72601713.00,5.6,51000000.00,2006
Barry Lyndon,184,,8.1,11000000.00,1975
Barry Munday,95,,5.9,,2010
Basic Instinct 2,116,5851188.00,4.2,70000000.00,2006
Basic,98,26536120.00,6.5,50000000.00,2003
Basquiat,108,2961991.00,6.9,3300000.00,1996
Bathing Beauty,101,,6.5,2361000.00,1944
Bathory: Countess of Blood,141,,6,,2008
Batman & Robin,125,107285004.00,3.7,125000000.00,1997
Batman Begins,128,205343774.00,8.3,150000000.00,2005
Batman Forever,121,184031112.00,5.4,100000000.00,1995
Batman Returns,126,162831698.00,7,80000000.00,1992
Batman v Superman: Dawn of Justice,183,330249062.00,6.9,250000000.00,2016
"Batman: The Dark Knight Returns, Part 2",148,,8.4,3500000.00,2013
Batman: The Movie,105,,6.5,1377800.00,1966
Batman,126,251188924.00,7.6,35000000.00,1989
Bats,91,10149779.00,3.6,6500000.00,1999
Battle for the Planet of the Apes,96,,5.5,1800000.00,1973
Battle Los Angeles,116,83552429.00,5.8,70000000.00,2011
Battle of the Year,110,8888355.00,5,20000000.00,2013
Battlefield Earth,119,21471685.00,2.4,44000000.00,2000
Battleship,131,65173160.00,5.9,209000000.00,2012
Be Cool,118,55808744.00,5.7,53000000.00,2005
Be Kind Rewind,102,11169531.00,6.4,20000000.00,2008
Beastly,86,27854896.00,5.6,17000000.00,2011
Beastmaster 2: Through the Portal of Time,107,869325.00,3.8,6000000.00,1991
Beasts of the Southern Wild,93,12784397.00,7.3,1800000.00,2012
Beautiful Creatures,124,19445217.00,6.2,60000000.00,2013
Beauty Shop,105,36310118.00,5.5,,2005
Beavis and Butt-Head Do America,81,63071133.00,6.8,12000000.00,1996
Because I Said So,102,42640890.00,5.6,,2007
Because of Winn-Dixie,106,32645546.00,6.4,14000000.00,2005
Becoming Jane,120,18663911.00,7.1,16500000.00,2007
Bedazzled,93,37879996.00,6,48000000.00,2000
Bedtime Stories,99,109993847.00,6.1,80000000.00,2008
Bee Movie,91,126597121.00,6.2,150000000.00,2007
Beer League,86,475000.00,6,2800000.00,2006
Beerfest,110,19179969.00,6.3,17500000.00,2006
Beetlejuice,92,73326666.00,7.5,15000000.00,1988
Before I Go to Sleep,92,2963012.00,6.3,22000000.00,2014
Before Midnight,109,8114507.00,7.9,3000000.00,2013
Before Sunrise,105,5400000.00,8.1,2500000.00,1995
Before Sunset,80,5792822.00,8,2700000.00,2004
Begin Again,104,16168741.00,7.4,8000000.00,2013
Beginners,105,5776314.00,7.2,3200000.00,2010
