movie,cast,Role
3 Ninjas Kick Back ,Victor Wong,actor
3 Strikes ,Mo'Nique,actor
3:10 to Yuma ,Christian Bale,actor
30 Days of Night ,Danny Huston,actor
30 Minutes or Less ,Bianca Kajlich,actor
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,French Stewart,actor
300,Gerard Butler,actor
300: Rise of an Empire ,Eva Green,actor
3000 Miles to Graceland ,Jon Lovitz,actor
3rd Rock from the Sun             ,Joseph Gordon-Levitt,actor
"4 Months, 3 Weeks and 2 Days ",Anamaria Marinca,actor
40 Days and 40 Nights ,Emmanuelle Vaugier,actor
42,Harrison Ford,actor
42nd Street ,Ginger Rogers,actor
47 Ronin ,Keanu Reeves,actor
5 Days of War ,Richard Coyle,actor
50 First Dates ,Adam Sandler,actor
50/50 ,Joseph Gordon-Levitt,actor
500 Days of Summer ,Joseph Gordon-Levitt,actor
51 Birch Street ,Carol Block,actor
54,Salma Hayek,actor
55 Days at Peking ,Ava Gardner,actor
8 Days ,Nicole Smolen,actor
8 Heads in a Duffel Bag ,Kristy Swanson,actor
8 Mile ,Mekhi Phifer,actor
8 Women ,Catherine Deneuve,actor
8: The Mormon Proposition ,Dustin Lance Black,actor
88 Minutes ,Al Pacino,actor
8MM ,Nicolas Cage,actor
9,Martin Landau,actor
9  Weeks ,David Margulies,actor
90 Minutes in Heaven ,Hayden Christensen,actor
A Beautiful Mind ,Adam Goldberg,actor
A Beginner's Guide to Snuff ,Kimberley Crossman,actor
A Better Life ,Demi?n Bichir,actor
A Bridge Too Far ,Ryan O'Neal,actor
A Bug's Life ,Kevin Spacey,actor
A Charlie Brown Christmas ,Peter Robbins,actor
A Christmas Carol ,Robin Wright,actor
A Christmas Story ,Zack Ward,actor
A Cinderella Story ,Dan Byrd,actor
A Civil Action ,Robert Duvall,actor
A Dangerous Method ,Michael Fassbender,actor
A Dog of Flanders ,Bruce McGill,actor
A Dog's Breakfast ,Christopher Judge,actor
A Dog's Breakfast ,Christopher Judge,actor
A Farewell to Arms ,Gary Cooper,actor
A Few Good Men ,Tom Cruise,actor
A Fine Step ,Justin Baldoni,actor
A Fistful of Dollars ,Clint Eastwood,actor
A Funny Thing Happened on the Way to the Forum ,Buster Keaton,actor
A Good Day to Die Hard ,Bruce Willis,actor
A Good Year ,Archie Panjabi,actor
A Guy Named Joe ,Spencer Tracy,actor
A Guy Thing ,Thomas Lennon,actor
A Hard Day's Night ,Paul McCartney,actor
A Haunted House ,Essence Atkins,actor
A Haunted House 2 ,Ashley Rickards,actor
A History of Violence ,Viggo Mortensen,actor
A Home at the End of the World ,Robin Wright,actor
A Knight's Tale ,Heath Ledger,actor
A League of Their Own ,Tom Hanks,actor
A Lego Brickumentary ,G.W. Krauss,actor
A Lonely Place to Die ,Ed Speleers,actor
A Lot Like Love ,Aimee Garcia,actor
A Low Down Dirty Shame ,Jada Pinkett Smith,actor
A Madea Christmas ,Alicia Witt,actor
A Man Apart ,Vin Diesel,actor
A Man for All Seasons ,Robert Shaw,actor
A Mighty Heart ,Angelina Jolie Pitt,actor
A Mighty Wind ,Michael McKean,actor
A Million Ways to Die in the West ,Liam Neeson,actor
A Monster in Paris ,Adam Goldberg,actor
A Most Violent Year ,David Oyelowo,actor
A Most Wanted Man ,Philip Seymour Hoffman,actor
A Night at the Roxbury ,Will Ferrell,actor
A Nightmare on Elm Street ,Johnny Depp,actor
A Nightmare on Elm Street ,Johnny Depp,actor
A Nightmare on Elm Street 2: Freddy's Revenge ,Clu Gulager,actor
A Nightmare on Elm Street 3: Dream Warriors ,John Saxon,actor
A Nightmare on Elm Street 4: The Dream Master ,Tuesday Knight,actor
A Nightmare on Elm Street 5: The Dream Child ,Lisa Wilcox,actor
A Passage to India ,Richard Wilson,actor
A Perfect Getaway ,Chris Hemsworth,actor
A Perfect Plan ,Dany Boon,actor
A Plague So Pleasant ,Eva Boehnke,actor
A Prairie Home Companion ,Meryl Streep,actor
A Room for Romeo Brass ,Bob Hoskins,actor
A Room with a View ,Julian Sands,actor
A Scanner Darkly ,Robert Downey Jr.,actor
A Separation ,Shahab Hosseini,actor
A Serious Man ,Michael Stuhlbarg,actor
A Shine of Rainbows ,Connie Nielsen,actor
A Simple Plan ,Gary Cole,actor
A Simple Wish ,Mara Wilson,actor
A Single Man ,Colin Firth,actor
A Sound of Thunder ,David Oyelowo,actor
A Streetcar Named Desire ,Marlon Brando,actor
A Tale of Three Cities ,Wei Tang,actor
A Thin Line Between Love and Hate ,Faizon Love,actor
A Thousand Words ,John Gatins,actor
A Time to Kill ,Kevin Spacey,actor
A Touch of Frost             ,David Jason,actor
A True Story ,Katrina Bowden,actor
A Turtle's Tale: Sammy's Adventures ,Ed Begley Jr.,actor
A Very Harold & Kumar 3D Christmas ,Patton Oswalt,actor
A Very Long Engagement ,Denis Lavant,actor
A View to a Kill ,Patrick Macnee,actor
A Walk Among the Tombstones ,Liam Neeson,actor
A Walk on the Moon ,Viggo Mortensen,actor
A Walk to Remember ,Lauren German,actor
A Warrior's Tail ,Konstantin Khabenskiy,actor
"A Woman, a Gun and a Noodle Shop ",Honglei Sun,actor
"A Woman, a Gun and a Noodle Shop ",Honglei Sun,actor
A.I. Artificial Intelligence ,Haley Joel Osment,actor
Abandon ,Charlie Hunnam,actor
Abandoned ,Siobhan Marshall,actor
ABCD (Any Body Can Dance) ,Lauren Gottlieb,actor
Abduction ,Ken Arnold,actor
Aberdeen ,Charlotte Rampling,actor
About a Boy ,Sharon Small,actor
About Last Night ,Joe Lo Truglio,actor
About Schmidt ,Hope Davis,actor
About Time ,Tom Hughes,actor
Abraham Lincoln: Vampire Hunter ,Rufus Sewell,actor
Absentia ,Justin Gordon,actor
Absolute Power ,Clint Eastwood,actor
Accidental Love ,Jake Gyllenhaal,actor
Ace Ventura: Pet Detective ,Sean Young,actor
Ace Ventura: When Nature Calls ,Bruce Spence,actor
Across the Universe ,Jim Sturgess,actor
Across the Universe ,Jim Sturgess,actor
Act of Valor ,Alex Veadov,actor
Action Jackson ,Bill Duke,actor
Adam ,Peter Gallagher,actor
Adam Resurrected ,Veronica Ferres,actor
Adaptation. ,Nicolas Cage,actor
Addicted ,Boris Kodjoe,actor
Admission ,Tina Fey,actor
Adore ,Robin Wright,actor
Adulterers ,Mehcad Brooks,actor
Adventureland ,Kristen Stewart,actor
After ,Sandra Ellis Lafferty,actor
After Earth ,Will Smith,actor
After the Sunset ,Salma Hayek,actor
After.Life ,Liam Neeson,actor
Against the Ropes ,Omar Epps,actor
Against the Wild ,Natasha Henstridge,actor
Agent Cody Banks ,Daniel Roebuck,actor
Agent Cody Banks 2: Destination London ,Daniel Roebuck,actor
Agora ,Max Minghella,actor
Aimee & Jaguar ,Heike Makatsch,actor
Air Bud ,Kevin Zegers,actor
Air Force One ,Harrison Ford,actor
Airborne ,Alanna Ubach,actor
Airlift ,Nimrat Kaur,actor
Airplane! ,Peter Graves,actor
Ajami ,Shahir Kabaha,actor
Akeelah and the Bee ,Curtis Armstrong,actor
Akira ,Mitsuo Iwata,actor
Aladdin ,Robin Williams,actor
Albert Nobbs ,Mia Wasikowska,actor
Albino Alligator ,Viggo Mortensen,actor
Alex & Emma ,David Paymer,actor
Alex Cross ,Cicely Tyson,actor
Alex Rider: Operation Stormbreaker ,Alex Pettyfer,actor
Alexander ,Anthony Hopkins,actor
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Bella Thorne,actor
Alexander's Ragtime Band ,Tyrone Power,actor
Alfie ,Omar Epps,actor
Ali ,Will Smith,actor
Alias Betty ,Sandrine Kiberlain,actor
Alice in Wonderland ,Johnny Depp,actor
Alice in Wonderland ,Johnny Depp,actor
Alice Through the Looking Glass ,Johnny Depp,actor
Alien ,Tom Skerritt,actor
Alien 3 ,Charles S. Dutton,actor
Alien Uprising ,Julian Glover,actor
Alien Zone ,Bernard Fox,actor
Alien: Resurrection ,Gary Dourdan,actor
Aliens ,Michael Biehn,actor
Aliens in the Attic ,Malese Jow,actor
Aliens vs. Predator: Requiem ,Sam Trammell,actor
Alive ,Illeana Douglas,actor
All About Steve ,Bradley Cooper,actor
All About the Benjamins ,Mike Epps,actor
All Good Things ,Ryan Gosling,actor
All Hat ,Keith Carradine,actor
All Is Bright ,Sally Hawkins,actor
All Is Lost ,Robert Redford,actor
All or Nothing ,Lesley Manville,actor
All Superheroes Must Die ,Sean Whalen,actor
All That Jazz ,Roy Scheider,actor
All the Boys Love Mandy Lane ,Luke Grimes,actor
All the King's Men ,Kate Winslet,actor
All the Pretty Horses ,Matt Damon,actor
All the Queen's Men ,Eddie Izzard,actor
All the Real Girls ,Zooey Deschanel,actor
Allegiant ,Naomi Watts,actor
Alleluia! The Devil's Carnival ,Paul Sorvino,actor
Almost Famous ,Philip Seymour Hoffman,actor
Aloft ,Ian Tracey,actor
Aloha ,Emma Stone,actor
Aloha ,Emma Stone,actor
Alone in the Dark ,Catherine Lough Haggquist,actor
Alone with Her ,Jordana Spiro,actor
Along Came a Spider ,Morgan Freeman,actor
Along Came Polly ,Philip Seymour Hoffman,actor
Along the Roadside ,Matthew Emerick,actor
Alpha and Omega ,Kevin Sussman,actor
Alpha and Omega 4: The Legend of the Saw Toothed Cave ,Debi Derryberry,actor
Alvin and the Chipmunks ,Jesse McCartney,actor
Alvin and the Chipmunks: Chipwrecked ,Amy Poehler,actor
Alvin and the Chipmunks: The Road Chip ,Bella Thorne,actor
Alvin and the Chipmunks: The Squeakquel ,Amy Poehler,actor
Always Woodstock ,Ryan Guzman,actor
Am lie ,Mathieu Kassovitz,actor
Amadeus ,Jeffrey Jones,actor
Amen. ,Sebastian Koch,actor
America Is Still the Place ,Emma Caulfield,actor
American Beauty ,Kevin Spacey,actor
American Desi ,Purva Bedi,actor
American Dreamz ,Judy Greer,actor
American Gangster ,Denzel Washington,actor
American Graffiti ,Harrison Ford,actor
American Heist ,Hayden Christensen,actor
American Hero ,Eddie Griffin,actor
American History X ,Ethan Suplee,actor
American Hustle ,Jennifer Lawrence,actor
American Ninja 2: The Confrontation ,Michael Dudikoff,actor
American Outlaws ,Gregory Smith,actor
American Pie ,Alyson Hannigan,actor
American Pie 2 ,Alyson Hannigan,actor
American Psycho ,Christian Bale,actor
American Reunion ,Alyson Hannigan,actor
American Sniper ,Bradley Cooper,actor
American Splendor ,Josh Hutcherson,actor
American Wedding ,Alyson Hannigan,actor
America's Sweethearts ,Julia Roberts,actor
Amidst the Devil's Wings ,Keri Maletto,actor
Amigo ,Brian Lee Franklin,actor
Amistad ,Anthony Hopkins,actor
Amnesiac ,Olivia Rose Keegan,actor
Among Giants ,Rachel Griffiths,actor
Amores Perros ,Adriana Barraza,actor
Amour ,Isabelle Huppert,actor
An Alan Smithee Film: Burn Hollywood Burn ,Eric Idle,actor
An American Carol ,Chriss Anglin,actor
An American Girl Holiday ,Mia Farrow,actor
An American Haunting ,Sissy Spacek,actor
An American in Hollywood ,J.D. Williams,actor
An Education ,Dominic Cooper,actor
An Everlasting Piece ,Anna Friel,actor
An Ideal Husband ,Minnie Driver,actor
An Inconvenient Truth ,Billy West,actor
An Unfinished Life ,Morgan Freeman,actor
Anaconda ,Frank Welker,actor
Anacondas: The Hunt for the Blood Orchid ,Nicholas Gonzalez,actor
Analyze That ,Robert De Niro,actor
Analyze This ,Robert De Niro,actor
Anastasia ,Kirsten Dunst,actor
Anatomy ,Benno F?rmann,actor
Anchorman 2: The Legend Continues ,Harrison Ford,actor
Anchorman: The Legend of Ron Burgundy ,Darcy Donavan,actor
And So It Goes ,Yaya DaCosta,actor
And Then Came Love ,Vanessa Williams,actor
Anderson's Cross ,Taran Killam,actor
Angel Eyes ,Sonia Braga,actor
Angela's Ashes ,Emily Watson,actor
Angels & Demons ,Tom Hanks,actor
Anger Management             ,Barry Corbin,actor
Animal House ,John Belushi,actor
Animal Kingdom             ,Dorian Missick,actor
Animal Kingdom: Let's go Ape ,Jamel Debbouze,actor
Animals ,Kim Shaw,actor
Animals United ,Jim Broadbent,actor
Anna and the King ,Bai Ling,actor
Anna Karenina ,Kelly Macdonald,actor
Annabelle ,Alfre Woodard,actor
Anne of Green Gables             ,Zack Ward,actor
Annie ,Quvenzhan? Wallis,actor
Annie Get Your Gun ,Keenan Wynn,actor
Annie Hall ,Woody Allen,actor
Anomalisa ,Jennifer Jason Leigh,actor
Anonymous ,Vanessa Redgrave,actor
Another Earth ,Robin Lord Taylor,actor
Another Happy Day ,George Kennedy,actor
Another Year ,Jim Broadbent,actor
Antarctic Edge: 70  South ,Naderev Sano,actor
Antarctica: A Year on Ice ,Josh Swanson,actor
Antibirth ,Natasha Lyonne,actor
Antitrust ,Tyler Labine,actor
Antiviral ,Sarah Gadon,actor
Ant-Man ,Judy Greer,actor
Antwone Fisher ,Denzel Washington,actor
Antz ,Sylvester Stallone,actor
Any Given Sunday ,Al Pacino,actor
Anything Else ,Woody Allen,actor
Anywhere But Here ,Natalie Portman,actor
Apocalypse Now ,Harrison Ford,actor
Apocalypto ,Rudy Youngblood,actor
Apollo 13 ,Tom Hanks,actor
Apollo 18 ,Warren Christie,actor
Appaloosa ,Viggo Mortensen,actor
April Fool's Day ,Thomas F. Wilson,actor
Aqua Teen Hunger Force Colon Movie Film for Theaters ,Tina Fey,actor
Aquamarine ,Tammin Sursok,actor
Arachnophobia ,Julian Sands,actor
Ararat ,David Alpay,actor
Arbitrage ,Nate Parker,actor
Archaeology of a Woman ,Sally Kirkland,actor
Are We There Yet  ,Nia Long,actor
Area 51 ,Glenn Campbell,actor
Argo ,Clea DuVall,actor
Arlington Road ,Jeff Bridges,actor
Armageddon ,Bruce Willis,actor
Armored ,Andrew Fiscella,actor
Army of Darkness ,Patricia Tallman,actor
Arn: The Knight Templar ,Gustaf Skarsg?rd,actor
Arnolds Park ,Kendyl Joi,actor
Around the World in 80 Days ,Jim Broadbent,actor
Around the World in 80 Days ,Jim Broadbent,actor
Aroused ,Lisa Ann,actor
Arthur             ,Bruce Dinsmore,actor
Arthur and the Invisibles ,Mia Farrow,actor
Arthur Christmas ,Jim Broadbent,actor
"As Above, So Below ",Ben Feldman,actor
As Good as It Gets ,Lupe Ontiveros,actor
As It Is in Heaven ,Michael Nyqvist,actor
Ask Me Anything ,Kimberly Williams-Paisley,actor
Assassins ,Muse Watson,actor
Assault on Precinct 13 ,Brian Dennehy,actor
Asterix at the Olympic Games ,Alain Delon,actor
Astro Boy ,Nicolas Cage,actor
At First Sight ,Mira Sorvino,actor
ATL ,T.I.,actor
Atlantis: The Lost Empire ,Leonard Nimoy,actor
Atlas Shrugged II: The Strike ,Robert Picardo,actor
Atlas Shrugged: Who Is John Galt  ,Joaquim de Almeida,actor
Atonement ,Benedict Cumberbatch,actor
Attack the Block ,John Boyega,actor
August ,Murray Bartlett,actor
August Rush ,Robin Williams,actor
August: Osage County ,Benedict Cumberbatch,actor
Austin Powers in Goldmember ,Verne Troyer,actor
Austin Powers: International Man of Mystery ,Will Ferrell,actor
Austin Powers: The Spy Who Shagged Me ,Muse Watson,actor
Australia ,Essie Davis,actor
Auto Focus ,Ed Begley Jr.,actor
Automata ,Birgitte Hjort S?rensen,actor
Autumn in New York ,J.K. Simmons,actor
Avatar ,CCH Pounder,actor
Avengers: Age of Ultron ,Chris Hemsworth,actor
AVP: Alien vs. Predator ,Sanaa Lathan,actor
Awake ,Hayden Christensen,actor
Away We Go ,Catherine O'Hara,actor
AWOL-72 ,Bokeem Woodbine,actor
Baahubali: The Beginning ,Tamannaah Bhatia,actor
Babe ,Miriam Margolyes,actor
Babe: Pig in the City ,Adam Goldberg,actor
Babel ,Brad Pitt,actor
Baby Boy ,Mo'Nique,actor
Baby Geniuses ,Kathleen Turner,actor
Baby Mama ,Tina Fey,actor
Babylon A.D. ,Vin Diesel,actor
Baby's Day Out ,Joe Mantegna,actor
Bachelorette ,Kirsten Dunst,actor
Back to the Future ,Lea Thompson,actor
Back to the Future Part II ,Lea Thompson,actor
Back to the Future Part III ,Lea Thompson,actor
Bad Boys ,Will Smith,actor
Bad Boys II ,Will Smith,actor
Bad Company ,Anthony Hopkins,actor
Bad Grandpa ,Jackson Nicoll,actor
Bad Lieutenant: Port of Call New Orleans ,Nicolas Cage,actor
Bad Moms ,Mila Kunis,actor
Bad Moms ,Mila Kunis,actor
Bad Santa ,Bernie Mac,actor
Bad Teacher ,Justin Timberlake,actor
Bad Words ,Beth Grant,actor
Baggage Claim ,Djimon Hounsou,actor
Baghead ,Greta Gerwig,actor
Bait ,Alex Russell,actor
Ballistic: Ecks vs. Sever ,Talisa Soto,actor
Bambi ,Sam Edwards,actor
Bamboozled ,Gillian White,actor
Bananas ,Woody Allen,actor
Bandidas ,Salma Hayek,actor
Bandits ,Bruce Willis,actor
Bandslam ,Scott Porter,actor
Bang ,Peter Greene,actor
Bang Bang Baby ,Boyd Banks,actor
Bangkok Dangerous ,Nicolas Cage,actor
Banshee Chapter ,Monique Candelaria,actor
Barbarella ,Jane Fonda,actor
Barbecue ,Lambert Wilson,actor
Barbershop ,Sean Patrick Thomas,actor
Barbershop 2: Back in Business ,Harry Lennix,actor
Barfi ,Bhama,actor
Barney's Great Adventure ,Trevor Morgan,actor
Barney's Version ,Mark Addy,actor
Barnyard ,Rob Paulsen,actor
Barry Lyndon ,Ryan O'Neal,actor
Barry Munday ,Judy Greer,actor
Basic ,Connie Nielsen,actor
Basic Instinct 2 ,Charlotte Rampling,actor
Basquiat ,Gary Oldman,actor
Bathing Beauty ,Esther Williams,actor
Bathory: Countess of Blood ,Anna Friel,actor
Batman ,Michael Gough,actor
Batman & Robin ,Michael Gough,actor
Batman Begins ,Christian Bale,actor
Batman Forever ,Michael Gough,actor
Batman Returns ,Michael Gough,actor
Batman v Superman: Dawn of Justice ,Henry Cavill,actor
"Batman: The Dark Knight Returns, Part 2 ",Michael Emerson,actor
Batman: The Movie ,Burgess Meredith,actor
Bats ,Leon,actor
Battle for the Planet of the Apes ,Roddy McDowall,actor
Battle Los Angeles ,Noel Fisher,actor
Battle of the Year ,Chris Brown,actor
Battlefield Earth ,Richard Tyson,actor
Battleship ,Liam Neeson,actor
Be Cool ,Dwayne Johnson,actor
Be Kind Rewind ,Quinton Aaron,actor
Beastly ,Alex Pettyfer,actor
Beastmaster 2: Through the Portal of Time ,Michael Berryman,actor
Beasts of the Southern Wild ,Quvenzhan? Wallis,actor
Beautiful Creatures ,Alden Ehrenreich,actor
Beauty Shop ,Alfre Woodard,actor
Beavis and Butt-Head Do America ,Bruce Willis,actor
Because I Said So ,Colin Ferguson,actor
Because of Winn-Dixie ,Cicely Tyson,actor
Becoming Jane ,Anne Hathaway,actor
Bedazzled ,Brendan Fraser,actor
Bedtime Stories ,Adam Sandler,actor
Bee Movie ,Matthew Broderick,actor
Beer League ,Joe Lo Truglio,actor
Beerfest ,Chris Moss,actor
Beetlejuice ,Catherine O'Hara,actor
Before I Go to Sleep ,Colin Firth,actor
Before Midnight ,Seamus Davey-Fitzpatrick,actor
Before Sunrise ,Hanno P?schl,actor
Before Sunset ,Vernon Dobtcheff,actor
Begin Again ,James Corden,actor
Beginners ,Goran Visnjic,actor
Behind Enemy Lines ,Joaquim de Almeida,actor
Being John Malkovich ,Willie Garson,actor
Being Julia ,Miriam Margolyes,actor
Bella ,Armando Riesco,actor
Beloved ,Oprah Winfrey,actor
Below Zero ,Michael Berryman,actor
Bend It Like Beckham ,Archie Panjabi,actor
Bending Steel ,Chris 'Wonder' Schoeck,actor
Beneath Hill 60 ,Harrison Gilbertson,actor
Beneath the Planet of the Apes ,Linda Harrison,actor
Ben-Hur ,Morgan Freeman,actor
Ben-Hur ,Morgan Freeman,actor
Ben-Hur ,Morgan Freeman,actor
Benji ,Frances Bavier,actor
Beowulf ,Robin Wright,actor
Bernie ,Matthew McConaughey,actor
Best in Show ,John Michael Higgins,actor
Better Luck Tomorrow ,Parry Shen,actor
Beverly Hills Chihuahua ,Jamie Lee Curtis,actor
Beverly Hills Cop ,Judge Reinhold,actor
Beverly Hills Cop II ,Dean Stockwell,actor
Beverly Hills Cop III ,Louis Lombardi,actor
Bewitched             ,Elizabeth Montgomery,actor
Beyond Borders ,Angelina Jolie Pitt,actor
Beyond the Black Rainbow ,Chris Gauthier,actor
Beyond the Lights ,Minnie Driver,actor
Beyond the Mat ,Terry Funk,actor
Beyond the Sea ,Kevin Spacey,actor
Beyond the Valley of the Dolls ,Charles Napier,actor
B-Girl ,Aimee Garcia,actor
Bicentennial Man ,Robin Williams,actor
Big ,Tom Hanks,actor
Big Daddy ,Steve Buscemi,actor
Big Eyes ,Christoph Waltz,actor
Big Fat Liar ,Frankie Muniz,actor
Big Fat Liar ,Frankie Muniz,actor
Big Fish ,Steve Buscemi,actor
Big Hero 6 ,Damon Wayans Jr.,actor
Big Miracle ,Ted Danson,actor
Big Momma's House ,Nia Long,actor
Big Momma's House 2 ,Chlo? Grace Moretz,actor
"Big Mommas: Like Father, Like Son ",Brandon T. Jackson,actor
Big Trouble ,Zooey Deschanel,actor
Big Trouble in Little China ,Victor Wong,actor
Bill & Ted's Bogus Journey ,Keanu Reeves,actor
Bill & Ted's Excellent Adventure ,Keanu Reeves,actor
Billy Elliot ,Julie Walters,actor
Birdman or (The Unexpected Virtue of Ignorance) ,Emma Stone,actor
Birth ,Cameron Bright,actor
Birthday Girl ,Mark Gatiss,actor
Biutiful ,Maricel ?lvarez,actor
Bizarre ,Rumi Missabu,actor
Black Book ,Michiel Huisman,actor
Black Christmas ,Oliver Hudson,actor
Black Hawk Down ,Ioan Gruffudd,actor
Black Knight ,Tom Wilkinson,actor
Black Mass ,Johnny Depp,actor
Black Nativity ,Jennifer Hudson,actor
Black November ,Akon,actor
Black or White ,Jennifer Ehle,actor
Black Rain ,Stephen Root,actor
Black Rock ,Katie Aselton,actor
Black Snake Moan ,Justin Timberlake,actor
Black Swan ,Natalie Portman,actor
Black Water Transit ,Bill Cobbs,actor
Blackhat ,Chris Hemsworth,actor
Blackthorn ,Sam Shepard,actor
Blade ,Sanaa Lathan,actor
Blade II ,Norman Reedus,actor
Blade Runner ,Harrison Ford,actor
Blade: Trinity ,Ryan Reynolds,actor
Blades of Glory ,Will Ferrell,actor
Blast from the Past ,Brendan Fraser,actor
Blazing Saddles ,Madeline Kahn,actor
Bled ,Dichen Lachman,actor
Bleeding Hearts ,Seregon O'Dassey,actor
Blended ,Bella Thorne,actor
Bless the Child ,Rufus Sewell,actor
Blindness ,Don McKellar,actor
Blonde Ambition ,Drew Fuller,actor
Blood and Chocolate ,Olivier Martinez,actor
Blood and Wine ,Harold Perrineau,actor
Blood Diamond ,Leonardo DiCaprio,actor
Blood Done Sign My Name ,Ricky Schroder,actor
"Blood In, Blood Out ",Delroy Lindo,actor
Blood Ties ,Mila Kunis,actor
Blood Work ,Clint Eastwood,actor
BloodRayne ,Meat Loaf,actor
Bloodsport ,Bolo Yeung,actor
Bloody Sunday ,James Nesbitt,actor
Blow ,Johnny Depp,actor
Blow Out ,Nancy Allen,actor
Blue Car ,Frances Fisher,actor
Blue Crush ,Faizon Love,actor
Blue Jasmine ,Sally Hawkins,actor
Blue Like Jazz ,Jason Marsden,actor
Blue Ruin ,Devin Ratray,actor
Blue Streak ,Peter Greene,actor
Blue Valentine ,Ryan Gosling,actor
Boat Trip ,Vivica A. Fox,actor
Bobby ,Anthony Hopkins,actor
Bobby Jones: Stroke of Genius ,Aidan Quinn,actor
Body Double ,Melanie Griffith,actor
Body of Lies ,Leonardo DiCaprio,actor
Bodyguards and Assassins ,Bingbing Fan,actor
Bogus ,Haley Joel Osment,actor
Boiler Room ,Vin Diesel,actor
Bolt ,Chlo? Grace Moretz,actor
Bon Cop Bad Cop ,Colm Feore,actor
Bon voyage ,Isabelle Adjani,actor
Bones             ,Michaela Conlin,actor
Boogeyman ,Barry Watson,actor
Boogie Nights ,Don Cheadle,actor
Book of Shadows: Blair Witch 2 ,Kim Director,actor
Boom Town ,Hedy Lamarr,actor
Boomerang ,John Witherspoon,actor
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,Luenell,actor
Born of War ,James Frain,actor
Born on the Fourth of July ,Tom Cruise,actor
Born to Fly: Elizabeth Streb vs. Gravity ,Elizabeth Streb,actor
Bottle Rocket ,Andrew Wilson,actor
Bottle Shock ,Alan Rickman,actor
Bound ,Christopher Meloni,actor
Bowfinger ,Robert Downey Jr.,actor
Bowling for Columbine ,Michael Moore,actor
Boyhood ,Ellar Coltrane,actor
Boynton Beach Club ,Dyan Cannon,actor
Boys and Girls ,Alyson Hannigan,actor
Boys Don't Cry ,Alicia Goranson,actor
Boyz n the Hood ,John Cothran,actor
Br no ,Bono,actor
BrainDead             ,Danny Pino,actor
Bram Stoker's Dracula ,Keanu Reeves,actor
Bran Nue Dae ,Deborah Mailman,actor
Brave ,Kelly Macdonald,actor
Brave New Girl ,Virginia Madsen,actor
Braveheart ,Mhairi Calvey,actor
Brazil ,Robert De Niro,actor
Breakdown ,Kathleen Quinlan,actor
Breakfast of Champions ,Bruce Willis,actor
Breakin' All the Rules ,Jennifer Esposito,actor
Breaking Upwards ,Zoe Lister-Jones,actor
Brick Lane ,Satish Kaushik,actor
Brick Mansions ,Paul Walker,actor
Bride & Prejudice ,Indira Varma,actor
Bride of Chucky ,Alexis Arquette,actor
Bride Wars ,Anne Hathaway,actor
Bridesmaids ,Matt Lucas,actor
Bridge of Spies ,Tom Hanks,actor
Bridge to Terabithia ,Josh Hutcherson,actor
Bridget Jones: The Edge of Reason ,Colin Firth,actor
Bridget Jones's Diary ,Colin Firth,actor
Brigham City ,Wilford Brimley,actor
