movie,Origin,From
A Plague So Pleasant,USA,English
A Prairie Home Companion,USA,English
A Room for Romeo Brass,UK,English
A Room with a View,UK,English
A Scanner Darkly,USA,English
A Separation,Iran,Persian
A Serious Man,USA,English
A Shine of Rainbows,Canada,English
A Simple Plan,UK,English
A Simple Wish,USA,English
A Single Man,USA,English
A Sound of Thunder,UK,English
A Streetcar Named Desire,USA,English
A Tale of Three Cities,China,Chinese
A Thin Line Between Love and Hate,USA,English
A Thousand Words,USA,English
A Time to Kill,USA,English
A Touch of Frost,UK,English
A True Story,USA,English
A Turtle's Tale: Sammy's Adventures,France,English
A Very Harold & Kumar 3D Christmas,USA,English
A Very Long Engagement,France,French
A View to a Kill,UK,English
A Walk Among the Tombstones,USA,English
A Walk on the Moon,USA,English
A Walk to Remember,USA,English
A Warrior's Tail,Russia,Russian
"A Woman, a Gun and a Noodle Shop",China,Mandarin
"A Woman, a Gun and a Noodle Shop",China,Mandarin
A.I. Artificial Intelligence,USA,English
Abandon,USA,English
Abandoned,New Zealand,English
ABCD (Any Body Can Dance),India,Hindi
Abduction,USA,English
Aberdeen,UK,English
About a Boy,UK,English
About Last Night,USA,English
About Schmidt,USA,English
About Time,UK,English
Abraham Lincoln: Vampire Hunter,USA,English
Absentia,USA,English
Absolute Power,USA,English
Accidental Love,USA,English
Ace Ventura: Pet Detective,USA,English
Ace Ventura: When Nature Calls,USA,English
Across the Universe,USA,English
Across the Universe,USA,English
Act of Valor,USA,English
Action Jackson,USA,English
Adam,USA,English
Adam Resurrected,Germany,English
Adaptation.,USA,English
Addicted,USA,Spanish
Admission,USA,English
Adore,Australia,English
Adulterers,USA,English
Adventureland,USA,English
After,USA,English
After Earth,USA,English
After the Sunset,USA,English
After.Life,USA,English
Against the Ropes,USA,English
Against the Wild,Canada,English
Agent Cody Banks,USA,English
Agent Cody Banks 2: Destination London,USA,English
Agora,Spain,English
Aimee & Jaguar,Germany,German
Air Bud,USA,English
Air Force One,USA,English
Airborne,USA,English
Airlift,India,Hindi
Airplane!,USA,English
Ajami,Germany,Arabic
Akeelah and the Bee,USA,English
Akira,Japan,Japanese
Aladdin,USA,English
Albert Nobbs,UK,English
Albino Alligator,USA,English
Alex & Emma,USA,English
Alex Cross,USA,English
Alex Rider: Operation Stormbreaker,Germany,English
Alexander,Germany,English
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",USA,English
Alexander's Ragtime Band,USA,English
Alfie,UK,English
Ali,USA,English
Alias Betty,France,French
Alice in Wonderland,USA,English
Alice in Wonderland,USA,English
Alice Through the Looking Glass,USA,English
Alien,UK,English
Alien 3,USA,English
Alien Uprising,UK,English
Alien Zone,USA,English
Alien: Resurrection,USA,English
Aliens,USA,English
Aliens in the Attic,USA,English
Aliens vs. Predator: Requiem,USA,English
Alive,USA,English
All About Steve,USA,English
All About the Benjamins,USA,English
All Good Things,USA,English
All Hat,Canada,English
All Is Bright,USA,English
All Is Lost,USA,English
All or Nothing,UK,English
All Superheroes Must Die,USA,English
All That Jazz,USA,English
All the Boys Love Mandy Lane,USA,English
All the King's Men,Germany,English
All the Pretty Horses,USA,English
All the Queen's Men,Germany,English
All the Real Girls,USA,English
Allegiant,USA,English
Alleluia! The Devil's Carnival,USA,English
Almost Famous,USA,English
Aloft,Spain,English
Aloha,USA,English
Aloha,USA,English
Alone in the Dark,Canada,English
Alone with Her,USA,English
Along Came a Spider,USA,English
Along Came Polly,USA,English
Along the Roadside,USA,English
Alpha and Omega,USA,English
Alvin and the Chipmunks,USA,English
Alvin and the Chipmunks: Chipwrecked,USA,English
Alvin and the Chipmunks: The Road Chip,USA,English
Alvin and the Chipmunks: The Squeakquel,USA,English
Always Woodstock,USA,English
Am lie,France,French
Amadeus,USA,English
Amen.,France,English
America Is Still the Place,USA,English
American Beauty,USA,English
American Desi,USA,English
American Dreamz,USA,English
American Gangster,USA,English
American Graffiti,USA,English
American Heist,Canada,English
American Hero,USA,English
American History X,USA,English
American Hustle,USA,English
American Ninja 2: The Confrontation,USA,English
American Outlaws,USA,English
American Pie,USA,English
American Pie 2,USA,English
American Psycho,USA,English
American Reunion,USA,English
American Sniper,USA,English
American Splendor,USA,English
American Wedding,USA,English
America's Sweethearts,USA,English
Amidst the Devil's Wings,USA,English
Amigo,USA,English
Amistad,USA,English
Amnesiac,USA,English
Among Giants,UK,English
Amores Perros,Mexico,Spanish
Amour,France,French
An Alan Smithee Film: Burn Hollywood Burn,USA,English
An American Carol,USA,English
An American Girl Holiday,USA,English
An American Haunting,UK,English
An American in Hollywood,USA,English
An Education,UK,English
An Everlasting Piece,USA,English
An Ideal Husband,UK,English
An Inconvenient Truth,USA,English
An Unfinished Life,USA,English
Anaconda,USA,English
Anacondas: The Hunt for the Blood Orchid,USA,English
Analyze That,USA,English
Analyze This,USA,English
Anastasia,USA,English
Anatomy,Germany,German
Anchorman 2: The Legend Continues,USA,English
Anchorman: The Legend of Ron Burgundy,USA,English
And So It Goes,USA,English
And Then Came Love,USA,English
Anderson's Cross,USA,English
Angel Eyes,USA,English
Angela's Ashes,USA,English
Angels & Demons,USA,English
Anger Management,USA,English
Animal House,USA,English
Animal Kingdom,USA,English
Animal Kingdom: Let's go Ape,France,French
Animals,USA,English
Animals United,Germany,German
Anna and the King,USA,English
Anna Karenina,UK,English
Annabelle,USA,English
Anne of Green Gables,Canada,English
Annie,USA,English
Annie Get Your Gun,USA,English
Annie Hall,USA,English
Anomalisa,USA,English
Anonymous,UK,English
Another Earth,USA,English
Another Happy Day,USA,English
Another Year,UK,English
Antarctic Edge: 70  South,USA,English
Antarctica: A Year on Ice,New Zealand,English
Antibirth,USA,English
Antitrust,USA,English
Antiviral,Canada,English
Ant-Man,USA,English
Antwone Fisher,USA,English
Antz,USA,English
Any Given Sunday,USA,English
Anything Else,USA,English
Anywhere But Here,USA,English
Apocalypse Now,USA,English
Apocalypto,USA,Maya
Apollo 13,USA,English
Apollo 18,USA,English
Appaloosa,USA,English
April Fool's Day,USA,English
Aqua Teen Hunger Force Colon Movie Film for Theaters,USA,English
Aquamarine,USA,English
Arachnophobia,USA,English
Ararat,Canada,English
Arbitrage,USA,English
Archaeology of a Woman,USA,English
Are We There Yet,USA,English
Area 51,USA,English
Argo,USA,English
Arlington Road,USA,English
Armageddon,USA,English
Armored,USA,English
Army of Darkness,USA,English
Arn: The Knight Templar,Sweden,Swedish
Arnolds Park,USA,English
Around the World in 80 Days,USA,English
Around the World in 80 Days,USA,English
Aroused,USA,English
Arthur,Canada,English
Arthur and the Invisibles,France,English
Arthur Christmas,UK,English
"As Above, So Below",USA,English
As Good as It Gets,USA,English
As It Is in Heaven,Sweden,Swedish
Ask Me Anything,USA,English
Assassins,France,English
Assault on Precinct 13,USA,English
Asterix at the Olympic Games,France,French
Astro Boy,Hong Kong,English
At First Sight,USA,English
ATL,USA,English
Atlantis: The Lost Empire,USA,English
Atlas Shrugged II: The Strike,USA,English
Atlas Shrugged: Who Is John Galt,USA,English
Atonement,UK,English
Attack the Block,UK,English
August,USA,English
August Rush,USA,English
August: Osage County,USA,English
Austin Powers in Goldmember,USA,English
Austin Powers: International Man of Mystery,USA,English
Austin Powers: The Spy Who Shagged Me,USA,English
Australia,Australia,English
Auto Focus,USA,English
Automata,Bulgaria,English
Autumn in New York,USA,English
Avatar,USA,English
Avengers: Age of Ultron,USA,English
AVP: Alien vs. Predator,USA,English
Awake,USA,English
Away We Go,USA,English
AWOL-72,USA,English
Ayurveda: Art of Being,India,English
Baahubali: The Beginning,India,Telugu
Babe,Australia,English
Babe: Pig in the City,Australia,English
Babel,France,English
Baby Boy,USA,English
Baby Geniuses,USA,English
Baby Mama,USA,English
Babylon A.D.,France,English
Baby's Day Out,USA,English
Bachelorette,USA,English
Back to the Future,USA,English
Back to the Future Part II,USA,English
Back to the Future Part III,USA,English
Bad Boys,USA,English
Bad Boys II,USA,English
Bad Company,USA,English
Bad Grandpa,USA,English
Bad Lieutenant: Port of Call New Orleans,USA,English
Bad Moms,USA,English
Bad Moms,USA,English
Bad Santa,USA,English
Bad Teacher,USA,English
Bad Words,USA,English
Baggage Claim,USA,English
Baghead,USA,English
Bait,Australia,English
Ballistic: Ecks vs. Sever,USA,English
Bambi,USA,English
Bamboozled,USA,English
Bananas,USA,English
Bandidas,France,English
Bandits,USA,English
Bandslam,USA,English
Bang,USA,English
Bang Bang Baby,Canada,English
Bangkok Dangerous,USA,English
Banshee Chapter,Germany,English
Barbarella,France,English
Barbecue,France,French
Barbershop,USA,English
Barbershop 2: Back in Business,USA,English
Barfi,India,Kannada
Barney's Great Adventure,Canada,English
Barney's Version,Canada,English
Barnyard,Germany,English
Barry Lyndon,UK,English
Barry Munday,USA,English
Basic,Germany,English
Basic Instinct 2,UK,English
Basquiat,USA,English
Bathing Beauty,USA,English
Bathory: Countess of Blood,Slovakia,English
Batman,USA,English
Batman & Robin,USA,English
Batman Begins,USA,English
Batman Forever,USA,English
Batman Returns,USA,English
Batman v Superman: Dawn of Justice,USA,English
"Batman: The Dark Knight Returns, Part 2",USA,English
Batman: The Movie,USA,English
Bats,USA,English
Battle for the Planet of the Apes,USA,English
Battle Los Angeles,USA,English
Battle of the Year,USA,English
Battlefield Earth,USA,English
Battleship,USA,English
Be Cool,USA,English
Be Kind Rewind,UK,English
Beastly,USA,English
Beastmaster 2: Through the Portal of Time,USA,English
Beasts of the Southern Wild,USA,English
Beautiful Creatures,USA,English
Beauty Shop,USA,English
Beavis and Butt-Head Do America,USA,English
Because I Said So,USA,English
Because of Winn-Dixie,USA,English
Becoming Jane,UK,English
Bedazzled,USA,English
Bedtime Stories,USA,English
Bee Movie,USA,English
Beer League,USA,English
Beerfest,USA,English
Beetlejuice,USA,English
Before I Go to Sleep,UK,English
Before Midnight,USA,English
Before Sunrise,USA,English
Before Sunset,USA,English
Begin Again,USA,English
Beginners,USA,English
Behind Enemy Lines,USA,English
Being John Malkovich,USA,English
Being Julia,Canada,English
Bella,USA,English
Beloved,USA,English
Below Zero,Canada,English
Bend It Like Beckham,UK,English
Bending Steel,USA,English
Beneath Hill 60,Australia,English
Beneath the Planet of the Apes,USA,English
Ben-Hur,USA,English
Ben-Hur,USA,English
Ben-Hur,USA,English
Benji,USA,English
Beowulf,USA,English
Bernie,USA,English
Best in Show,USA,English
Better Luck Tomorrow,USA,English
Beverly Hills Chihuahua,USA,English
Beverly Hills Cop,USA,English
Beverly Hills Cop II,USA,English
Beverly Hills Cop III,USA,English
Bewitched,USA,English
Beyond Borders,USA,English
Beyond the Black Rainbow,Canada,English
Beyond the Lights,USA,English
Beyond the Mat,USA,English
Beyond the Sea,USA,English
Beyond the Valley of the Dolls,USA,English
B-Girl,USA,English
Bicentennial Man,USA,English
Big,USA,English
Big Daddy,USA,English
Big Eyes,USA,English
Big Fat Liar,USA,English
Big Fat Liar,USA,English
Big Fish,USA,English
Big Hero 6,USA,English
Big Miracle,USA,English
Big Momma's House,USA,English
Big Momma's House 2,USA,English
"Big Mommas: Like Father, Like Son",USA,English
Big Trouble,USA,English
Big Trouble in Little China,USA,English
Bill & Ted's Bogus Journey,USA,English
Bill & Ted's Excellent Adventure,USA,English
Billy Elliot,UK,English
Birdman or (The Unexpected Virtue of Ignorance),USA,English
Birth,USA,English
Birthday Girl,UK,English
Biutiful,Mexico,Spanish
Bizarre,France,English
Black Book,Netherlands,Dutch
Black Christmas,USA,English
Black Hawk Down,USA,English
Black Knight,USA,English
Black Mass,USA,English
Black Nativity,USA,English
Black November,Nigeria,English
Black or White,USA,English
Black Rain,USA,English
Black Rock,USA,English
Black Snake Moan,USA,English
Black Swan,USA,English
Black Water Transit,USA,English
Blackhat,USA,English
Blackthorn,Spain,English
Blade,USA,English
Blade II,USA,English
Blade Runner,USA,English
Blade: Trinity,USA,English
Blades of Glory,USA,English
Blast from the Past,USA,English
Blazing Saddles,USA,English
Bled,USA,English
Bleeding Hearts,USA,English
Blended,USA,English
Bless the Child,USA,English
Blindness,Canada,English
Blonde Ambition,USA,English
Blood and Chocolate,USA,English
Blood and Wine,USA,English
Blood Diamond,Germany,English
Blood Done Sign My Name,USA,English
"Blood In, Blood Out",USA,English
Blood Ties,France,English
Blood Work,USA,English
BloodRayne,USA,English
Bloodsport,USA,English
Bloody Sunday,UK,English
Blow,USA,English
Blow Out,USA,English
Blue Car,USA,English
Blue Crush,USA,English
Blue Jasmine,USA,English
Blue Like Jazz,USA,English
Blue Ruin,USA,English
Blue Streak,USA,English
Blue Valentine,USA,English
Boat Trip,USA,English
Bobby,USA,English
Bobby Jones: Stroke of Genius,USA,English
Body Double,USA,English
Body of Lies,USA,English
Bodyguards and Assassins,China,Mandarin
Bogus,USA,English
Boiler Room,USA,English
Bolt,USA,English
Bon Cop Bad Cop,Canada,English
Bon voyage,France,French
Bones,USA,English
Boogeyman,USA,English
Boogie Nights,USA,English
Book of Shadows: Blair Witch 2,USA,English
Boom Town,USA,English
Boomerang,USA,English
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,USA,English
Born of War,UK,English
Born on the Fourth of July,USA,English
Born to Fly: Elizabeth Streb vs. Gravity,USA,English
Bottle Rocket,USA,English
Bottle Shock,USA,English
Bound,USA,English
Bowfinger,USA,English
Bowling for Columbine,Germany,English
Boyhood,USA,English
Boynton Beach Club,USA,English
Boys and Girls,USA,English
Boys Don't Cry,USA,English
Boyz n the Hood,USA,English
Br no,USA,English
BrainDead,USA,English
Bram Stoker's Dracula,USA,English
Bran Nue Dae,Australia,English
Brave,USA,English
Brave New Girl,USA,English
Braveheart,USA,English
Brazil,UK,English
Breakdown,USA,English
Breakfast of Champions,USA,English
Breakin' All the Rules,USA,English
Breaking Upwards,USA,English
Brick Lane,UK,English
Brick Mansions,France,English
Bride & Prejudice,UK,English
Bride of Chucky,Canada,English
Bride Wars,USA,English
Bridesmaids,USA,English
Bridge of Spies,USA,English
Bridge to Terabithia,USA,English
Bridget Jones: The Edge of Reason,UK,English
Bridget Jones's Diary,UK,English
Brigham City,USA,English
"Bright Lights, Big City",USA,English
Bright Star,UK,English
Brighton Rock,UK,English
Bring It On,USA,English
Bringing Down the House,USA,English
Bringing Out the Dead,USA,English
Brokeback Mountain,USA,English
Brokedown Palace,USA,English
Broken Arrow,USA,English
Broken City,USA,English
Broken Horses,USA,English
Broken Vessels,USA,English
Bronson,UK,English
Brooklyn,UK,English
Brooklyn Rules,USA,English
Brooklyn's Finest,USA,English
Brother,USA,English
Brotherly Love,USA,English
Brothers,USA,English
Brothers,USA,English
Brown Sugar,USA,English
Bruce Almighty,USA,English
Bubba Ho-Tep,USA,English
Bubble Boy,USA,English
Bucky Larson: Born to Be a Star,USA,English
"Buen D a, Ram n",Mexico,German
Buffalo '66,USA,English
Buffalo Soldiers,UK,English
Buffy the Vampire Slayer,USA,English
Bullet to the Head,USA,English
Bulletproof Monk,USA,English
Bullets Over Broadway,USA,English
Bully,USA,English
Bulworth,USA,English
Buried,Spain,English
Burlesque,USA,English
Burn,USA,English
Burn After Reading,USA,English
Burnt,USA,English
But I'm a Cheerleader,USA,English
Butch Cassidy and the Sundance Kid,USA,English
Butterfly,USA,English
Butterfly Girl,USA,English
By the Sea,USA,English
C.H.U.D.,USA,English
Ca$h,USA,English
Cabin Fever,USA,English
Caddyshack,USA,English
Cadillac Records,USA,English
Call + Response,USA,English
Camping sauvage,France,French
Can't Hardly Wait,USA,English
Can't Stop the Music,USA,English
Cape Fear,USA,English
Capitalism: A Love Story,USA,English
Capote,Canada,English
Capricorn One,USA,English
Captain Alatriste: The Spanish Musketeer,Spain,Spanish
Captain America: Civil War,USA,English
Captain America: The First Avenger,USA,English
Captain America: The Winter Soldier,USA,English
Captain Corelli's Mandolin,UK,English
Captain Phillips,USA,English
Captive,USA,English
Caramel,France,Arabic
Caravans,Iran,English
Cargo,Switzerland,German
Carlos,France,English
Carnage,France,English
Carrie,USA,English
Carrie,USA,English
Carriers,USA,English
Cars,USA,English
Cars 2,USA,English
Casa de mi Padre,USA,Spanish
Casablanca,USA,English
Case 39,USA,English
Casino,USA,English
Casino Jack,Canada,English
Casino Royale,UK,English
Casino Royale,UK,English
Casper,USA,English
Cast Away,USA,English
Cat on a Hot Tin Roof,USA,English
Cat People,USA,English
Cat People,USA,English
Catch a Fire,France,English
Catch Me If You Can,USA,English
Catch That Kid,USA,English
Catch-22,USA,English
Cats & Dogs,USA,English
Cats & Dogs: The Revenge of Kitty Galore,USA,English
Cats Don't Dance,USA,English
Catwoman,USA,English
Cavite,Philippines,English
Cecil B. DeMented,France,English
Cedar Rapids,USA,English
Celebrity,USA,English
Celeste & Jesse Forever,USA,English
Cellular,USA,English
Censored Voices,Israel,Hebrew
Center Stage,USA,English
Central Intelligence,USA,English
Central Station,Brazil,Portuguese
Centurion,UK,English
Certifiably Jonathan,USA,English
Ch ri,UK,English
Chain Letter,USA,English
Chain of Command,USA,English
Chain Reaction,USA,English
Chairman of the Board,USA,English
Changeling,USA,English
Changing Lanes,USA,English
Chappie,USA,English
Character,Netherlands,Dutch
Chariots of Fire,UK,English
Charlie and the Chocolate Factory,USA,English
Charlie Bartlett,USA,English
Charlie St. Cloud,USA,English
Charlie Wilson's War,USA,English
Charlie's Angels,USA,English
Charlie's Angels: Full Throttle,USA,English
Charlotte's Web,USA,English
Charly,USA,English
Chasing Amy,USA,English
Chasing Liberty,USA,English
Chasing Liberty,USA,English
Chasing Mavericks,USA,English
Chasing Papi,USA,English
Cheap Thrills,USA,English
Cheaper by the Dozen,USA,English
Cheaper by the Dozen 2,USA,English
Checkmate,USA,English
Chernobyl Diaries,USA,English
Chiamatemi Francesco - Il Papa della gente,Italy,Spanish
Chicago,USA,English
Chicago Overcoat,USA,English
Chicken Little,USA,English
Chicken Run,UK,English
Chicken Tikka Masala,UK,English
Child 44,Czech Republic,English
Childless,USA,English
Children of Heaven,Iran,Persian
Children of Men,USA,English
Child's Play,USA,English
Child's Play 2,USA,English
Chill Factor,USA,English
Chloe,USA,English
Chocolat,UK,English
Chocolate: Deep Dark Secrets,India,Hindi
Choke,USA,English
Christmas Eve,USA,English
Christmas Mail,USA,English
Christmas with the Kranks,USA,English
Chronicle,USA,English
Chuck & Buck,USA,English
"Cinco de Mayo, La Batalla",Mexico,Spanish
Cinderella,USA,English
Cinderella,USA,English
Cinderella Man,USA,English
Circle,USA,English
Circumstance,France,Persian
Cirque du Freak: The Vampire's Assistant,USA,English
Cirque du Soleil: Worlds Away,USA,English
City by the Sea,USA,English
City Hall,USA,English
City Island,USA,English
City of Angels,Germany,English
City of Ember,USA,English
City of Ghosts,USA,English
City of God,Brazil,Portuguese
City of Life and Death,China,Mandarin
Civil Brand,USA,English
CJ7,Hong Kong,Cantonese
Clash of the Titans,USA,English
Clash of the Titans,USA,English
Class of 1984,Canada,English
Clay Pigeons,Germany,English
Clean,France,French
Clear and Present Danger,USA,English
Cleopatra,UK,English
Clerks,USA,English
Clerks II,USA,English
Click,USA,English
Cliffhanger,USA,English
Clockstoppers,USA,English
Clockwatchers,UK,English
Close Encounters of the Third Kind,USA,English
Close Range,USA,English
Closer,USA,English
Closer to the Moon,Romania,English
Closure,UK,English
Cloud Atlas,Germany,English
Cloudy with a Chance of Meatballs,USA,English
Cloudy with a Chance of Meatballs 2,USA,English
Cloverfield,USA,English
Club Dread,USA,English
Clueless,USA,English
Coach Carter,USA,English
Coal Miner's Daughter,USA,English
Coco Before Chanel,France,French
Code 46,UK,English
Code Name: The Cleaner,USA,English
Code of Honor,USA,English
Coffee Town,USA,English
Cold Mountain,USA,English
Collateral,USA,English
Collateral Damage,USA,English
College,USA,English
Colombiana,France,English
Come Early Morning,USA,English
Coming Home,China,Mandarin
Commando,USA,English
Compadres,Mexico,English
Compliance,USA,English
Con Air,USA,English
Conan the Barbarian,USA,English
Conan the Barbarian,USA,English
Conan the Destroyer,USA,English
Concussion,UK,English
Confessions of a Dangerous Mind,USA,English
Confessions of a Teenage Drama Queen,Germany,English
Confidence,USA,English
Congo,USA,English
Connie and Carla,USA,English
Conquest of the Planet of the Apes,USA,English
Conspiracy Theory,USA,English
Constantine,USA,English
Contact,USA,English
Contagion,USA,English
Containment,UK,English
Contraband,USA,English
Control,UK,English
Conversations with Other Women,UK,English
Cool Runnings,USA,English
Cop Land,USA,English
Cop Out,USA,English
Copycat,USA,English
Copying Beethoven,USA,English
Coraline,USA,English
Coriolanus,UK,English
Corky Romano,USA,English
Corpse Bride,USA,English
Cotton Comes to Harlem,USA,English
Counting,USA,English
Country Strong,Official site,English
Couples Retreat,USA,English
Courage,USA,English
Courage Under Fire,USA,English
Courageous,USA,English
Coyote Ugly,USA,English
Cradle 2 the Grave,USA,English
Cradle Will Rock,USA,English
Crank,USA,English
Crank: High Voltage,USA,English
Crash,Germany,English
Crash,Germany,English
Crazy Heart,USA,English
Crazy in Alabama,USA,English
Crazy Stone,China,Mandarin
"Crazy, Stupid, Love.",USA,English
Crazy/Beautiful,USA,English
Creative Control,USA,English
Creature,USA,English
Creed,USA,English
Creepshow,USA,English
Creepshow,USA,English
Creepshow 2,USA,English
Cries & Whispers,Sweden,Swedish
Criminal,UK,English
Criminal Activities,USA,English
Crimson Tide,USA,English
Critical Care,Australia,English
Crocodile Dundee,Australia,English
Crocodile Dundee II,Australia,English
Crocodile Dundee in Los Angeles,Australia,English
Crooklyn,USA,English
Crop Circles: Quest for Truth,USA,English
Crossover,USA,English
Crossroads,USA,English
Crossroads,USA,English
"Crouching Tiger, Hidden Dragon",Taiwan,Mandarin
Crowsnest,Canada,English
Cruel Intentions,USA,English
Cry Freedom,UK,English
Cry_Wolf,USA,English
Crying with Laughter,UK,English
Cube,Canada,English
Curious George,USA,English
Curse of the Golden Flower,China,Mandarin
Cursed,USA,English
Cutthroat Island,USA,English
Cypher,USA,English
Cyrus,USA,English
D j  Vu,USA,English
D.E.B.S.,USA,English
Da Sweet Blood of Jesus,USA,English
Daddy Day Camp,USA,English
Daddy Day Care,USA,English
Daddy's Home,USA,English
Dallas Buyers Club,USA,English
Damnation Alley,USA,English
Damsels in Distress,USA,English
Dance Flick,USA,English
Dancer in the Dark,Denmark,English
"Dancer, Texas Pop. 81",USA,English
Dances with Wolves,USA,English
Dancin' It's On,USA,English
Dangerous Liaisons,USA,English
Dangerous Liaisons,USA,English
Danny Collins,USA,English
Dante's Peak,USA,English
Daredevil,USA,English
Dark Angel,USA,English
Dark Blue,USA,English
Dark City,Australia,English
Dark Shadows,USA,English
Dark Water,USA,English
Darkness,USA,English
Darkness Falls,USA,English
Darling Companion,USA,English
Darling Lili,USA,English
Das Boot,West Germany,German
Date Movie,USA,English
Date Night,USA,English
Dave Chappelle's Block Party,USA,English
Dawn of the Crescent Moon,USA,English
Dawn of the Dead,USA,English
Dawn of the Dead,USA,English
Dawn of the Planet of the Apes,USA,English
Day of the Dead,USA,English
Day of the Dead,USA,English
Day One,USA,English
Daybreakers,Australia,English
Daylight,USA,English
Days of Heaven,USA,English
Days of Thunder,USA,English
Dazed and Confused,USA,English
Dead Like Me: Life After Death,USA,English
Dead Man Down,USA,English
Dead Man on Campus,USA,English
Dead Man Walking,UK,English
Dead Man's Shoes,UK,English
Dead Poets Society,USA,English
Dead Snow,Norway,Norwegian
Deadfall,USA,English
Deadline - U.S.A.,USA,English
Deadline Gallipoli,Australia,English
Deadpool,USA,English
Dear Frankie,UK,English
Dear John,USA,English
Dear Wendy,Italy,English
Death at a Funeral,USA,English
Death at a Funeral,USA,English
Death Becomes Her,USA,English
Death Calls,USA,English
Death Race,USA,English
Death Race 2000,USA,English
Death Sentence,USA,English
Death to Smoochy,UK,English
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,USA,English
Deck the Halls,USA,English
Deconstructing Harry,USA,English
Decoys,Canada,English
Deep Blue Sea,USA,English
Deep Impact,USA,English
Deep Rising,USA,English
Def-Con 4,Canada,English
